image_id,bad_case_status,subset,resolution
867,ostia_not_found,train,high_res
23,none_correct,train,high_res
553,one_correct,train,high_res
2,none_correct,train,high_res
906,one_correct,train,high_res
251,none_correct,train,high_res
907,one_correct,train,high_res
988,one_correct,train,high_res
750,none_correct,train,high_res
459,one_correct,train,high_res
293,ostia_not_found,train,high_res
567,one_correct,train,high_res
32,none_correct,train,high_res
899,one_correct,train,high_res
606,ostia_not_found,train,high_res
883,none_correct,train,high_res
705,none_correct,train,high_res
239,one_correct,train,high_res
470,ostia_not_found,train,high_res
982,none_correct,train,high_res
267,ostia_not_found,train,high_res
646,none_correct,train,high_res
317,none_correct,train,high_res
614,none_correct,train,high_res
116,one_correct,train,high_res
755,one_correct,train,high_res
269,one_correct,train,high_res
759,low_dice,train,high_res
791,none_correct,train,high_res
270,one_correct,train,high_res
122,none_correct,train,high_res
156,one_correct,train,high_res
9,low_dice,train,high_res
861,low_dice,train,high_res
187,one_correct,train,high_res
525,one_correct,train,high_res
284,one_correct,train,high_res
468,one_correct,train,high_res
241,none_correct,train,high_res
797,none_correct,train,high_res
702,low_dice,train,high_res
508,one_correct,train,high_res
30,none_correct,train,high_res
850,none_correct,train,high_res
681,one_correct,train,high_res
886,none_correct,train,high_res
730,none_correct,train,high_res
792,ostia_not_found,train,high_res
751,low_dice,train,high_res
808,none_correct,train,high_res
728,one_correct,train,high_res
639,none_correct,train,high_res
263,low_dice,train,high_res
170,one_correct,train,high_res
938,one_correct,train,high_res
747,low_dice,train,high_res
325,ostia_not_found,train,high_res
891,none_correct,train,high_res
602,low_dice,train,high_res
460,none_correct,train,high_res
651,ostia_not_found,train,high_res
558,one_correct,train,high_res
391,low_dice,train,high_res
776,ostia_not_found,train,high_res
180,one_correct,train,high_res
358,none_correct,train,high_res
753,none_correct,train,high_res
772,none_correct,train,high_res
604,one_correct,train,high_res
316,none_correct,train,high_res
914,none_correct,train,high_res
162,none_correct,train,high_res
101,one_correct,train,high_res
396,low_dice,train,high_res
835,low_dice,train,high_res
401,none_correct,train,high_res
490,none_correct,train,high_res
522,none_correct,train,high_res
824,one_correct,train,high_res
439,one_correct,train,high_res
140,one_correct,train,high_res
456,ostia_not_found,train,high_res
767,none_correct,train,high_res
190,ostia_not_found,train,high_res
961,ostia_not_found,train,high_res
618,one_correct,train,high_res
