IMG_ID,dice_artery,artery_voxels,ostia_found,ostia_status,segmentation_attempted,proceeded_with_bad_ostia,skip_reason,ostia_error,both_correct,both_tolerable,left_intersects,right_intersects,left_dist_mm,right_dist_mm,ostia_left,ostia_right,error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
867,0.0,,False,not_found,False,False,ostia_not_found,"Segundo óstio não encontrado! Tentou 2000 candidatos. Restrições: dist>=85.0, z_diff<=40.0mm, x_sep>=34.0. Tente aumentar 'top_n' ou relaxar os fatores.",False,False,False,False,,,,,,óstios não encontrados,scipy,N/A,"(1, 1, 1)",99.7
450,0.6336127555045312,208046.0,True,both_tolerable,True,False,,,False,True,False,False,0.74609375,2.604472963757795,"(208, 314, 147)","(199, 239, 167)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
788,0.63369327259405,292537.0,True,both_tolerable,True,False,,,False,True,False,True,2.609764572575001,0.0,"(182, 356, 217)","(238, 303, 247)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
362,0.5573000135814206,206531.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(201, 334, 188)","(234, 254, 224)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
10,0.6011703152967094,188518.0,True,both_tolerable,True,False,,,False,True,False,True,0.49718445552179125,0.0,"(181, 323, 177)","(240, 256, 213)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
605,0.6667001182303705,207812.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(182, 336, 147)","(212, 257, 186)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
23,0.0,49555.0,True,found_but_wrong,True,True,,,False,False,False,False,31.965738074452954,50.70708680743095,"(187, 313, 249)","(97, 269, 249)",,nenhum correto,scipy,N/A,"(1, 1, 1)",99.7
553,0.2704569205027735,409217.0,True,found_but_wrong,True,True,,,False,False,False,True,14.668981557285377,0.0,"(138, 311, 192)","(246, 241, 186)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
922,0.3317340903714218,45301.0,True,both_tolerable,True,False,,,False,True,True,False,0.0,1.1855002178833889,"(192, 325, 162)","(230, 252, 197)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
682,0.5975738841272071,182642.0,True,both_tolerable,True,False,,,False,True,False,True,0.5927501089416944,0.0,"(167, 328, 137)","(205, 237, 178)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
934,0.6989728549300424,196477.0,True,both_tolerable,True,False,,,False,True,False,True,1.0623276514628148,0.0,"(171, 334, 218)","(231, 276, 245)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
737,0.5335091765816377,369047.0,True,both_tolerable,True,False,,,False,True,True,False,0.0,1.9729810994901376,"(186, 350, 214)","(209, 260, 235)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
510,0.5480146829490655,296264.0,True,both_tolerable,True,False,,,False,True,False,False,0.361328125,0.361328125,"(177, 313, 178)","(230, 233, 221)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
2,0.5225891538299219,96367.0,True,found_but_wrong,True,True,,,False,False,False,False,0.7421875,9.140145887550325,"(172, 316, 223)","(249, 236, 234)",,nenhum correto,scipy,N/A,"(1, 1, 1)",99.7
420,0.512610247795044,79703.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(192, 319, 187)","(250, 221, 210)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
881,0.6459130675278298,142747.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(209, 342, 189)","(253, 264, 232)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
11,0.6264467302822644,139497.0,True,both_tolerable,True,False,,,False,True,False,True,1.4004028830530453,0.0,"(201, 290, 174)","(248, 240, 209)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
906,0.4593294373232843,96934.0,True,found_but_wrong,True,True,,,False,False,True,False,0.0,10.89633453752957,"(193, 318, 125)","(282, 232, 142)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
251,0.301928597576248,396468.0,True,found_but_wrong,True,True,,,False,False,False,False,19.55887460478399,0.318359375,"(149, 273, 186)","(243, 216, 179)",,nenhum correto,scipy,N/A,"(1, 1, 1)",99.7
409,0.44791533656473614,80565.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(184, 308, 187)","(248, 233, 224)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
134,0.33676464409404394,81265.0,True,both_tolerable,True,False,,,False,True,False,False,1.6684775369359235,4.316847227191409,"(164, 374, 142)","(187, 291, 147)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
822,0.5529681274900399,106655.0,True,both_tolerable,True,False,,,False,True,False,True,0.42578125,0.0,"(176, 350, 146)","(199, 278, 189)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
