,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_circle_coverage,aorta_detected_circle_coverage,aorta_missing_circle_slices,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,artery_dice
image_slice_count,1.0,0.44999418974849026,0.44999418974849026,0.15512812065608628,0.15512812065608628,0.3464483188365463,0.17432682379593073,-0.2072496680746485,-0.04983827316242652,-0.05595624914757976,0.06221781344766244,0.16880034626476897
aorta_circle_count,0.44999418974849026,1.0,1.0,0.948777040933764,0.948777040933764,-0.6818254735522515,0.1057629373723903,0.1732397933077171,0.23630325242466846,0.1893466914709611,0.33672815261705746,0.14907336620555722
aorta_detected_circle_count,0.44999418974849026,1.0,1.0,0.948777040933764,0.948777040933764,-0.6818254735522515,0.1057629373723903,0.1732397933077171,0.23630325242466846,0.1893466914709611,0.33672815261705746,0.14907336620555722
aorta_circle_coverage,0.15512812065608628,0.948777040933764,0.948777040933764,1.0,1.0,-0.869554851622478,0.08554561231820416,0.2718864279309967,0.2662516723254074,0.2044420404214262,0.34143297376611575,0.1251169305739659
aorta_detected_circle_coverage,0.15512812065608628,0.948777040933764,0.948777040933764,1.0,1.0,-0.869554851622478,0.08554561231820416,0.2718864279309967,0.2662516723254074,0.2044420404214262,0.34143297376611575,0.1251169305739659
aorta_missing_circle_slices,0.3464483188365463,-0.6818254735522515,-0.6818254735522515,-0.869554851622478,-0.869554851622478,1.0,0.03170070406801351,-0.3517424781283905,-0.2890449144734842,-0.2447316877845504,-0.30274521167871643,-0.01832090739074682
aorta_circle_radius_median_mm,0.17432682379593073,0.1057629373723903,0.1057629373723903,0.08554561231820416,0.08554561231820416,0.03170070406801351,1.0,0.4615893633286598,-0.3810494299774208,-0.415901455185936,-0.11918903031047025,0.22348076331064473
aorta_circle_radius_std_mm,-0.2072496680746485,0.1732397933077171,0.1732397933077171,0.2718864279309967,0.2718864279309967,-0.3517424781283905,0.4615893633286598,1.0,0.09315708442143893,-0.08037041243585911,0.052446638957117056,0.0031394680079316296
aorta_circle_radius_max_step_change_mm,-0.04983827316242652,0.23630325242466846,0.23630325242466846,0.2662516723254074,0.2662516723254074,-0.2890449144734842,-0.3810494299774208,0.09315708442143893,1.0,0.46812966478460755,0.382847694201531,-0.1708883695015097
aorta_circle_lower_radius_bound_fraction,-0.05595624914757976,0.1893466914709611,0.1893466914709611,0.2044420404214262,0.2044420404214262,-0.2447316877845504,-0.415901455185936,-0.08037041243585911,0.46812966478460755,1.0,0.21235002761035301,0.09659848542251057
aorta_circle_upper_radius_bound_fraction,0.06221781344766244,0.33672815261705746,0.33672815261705746,0.34143297376611575,0.34143297376611575,-0.30274521167871643,-0.11918903031047025,0.052446638957117056,0.382847694201531,0.21235002761035301,1.0,0.028891196660292273
artery_dice,0.16880034626476897,0.14907336620555722,0.14907336620555722,0.1251169305739659,0.1251169305739659,-0.01832090739074682,0.22348076331064473,0.0031394680079316296,-0.1708883695015097,0.09659848542251057,0.028891196660292273,1.0
