,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_circle_coverage,aorta_detected_circle_coverage,aorta_missing_circle_slices,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,artery_dice
image_slice_count,1.0,0.5045740280638661,0.5045740280638661,0.14138144181830364,0.14138144181830364,0.3865893300383164,0.13515474890785564,-0.17094729189269733,-0.07498682387356734,-0.033595794313138,0.02608428608162081,0.03611650057805715
aorta_circle_count,0.5045740280638661,1.0,1.0,0.9054728758769228,0.9054728758769228,-0.5340572569667218,0.2136860367439503,0.15005074430624715,0.10981848328398267,0.08155018104068071,0.18439256832521989,0.13604081930988765
aorta_detected_circle_count,0.5045740280638661,1.0,1.0,0.9054728758769228,0.9054728758769228,-0.5340572569667218,0.2136860367439503,0.15005074430624715,0.10981848328398267,0.08155018104068071,0.18439256832521989,0.13604081930988765
aorta_circle_coverage,0.14138144181830364,0.9054728758769228,0.9054728758769228,1.0,1.0,-0.8164493774453622,0.19479996156025858,0.2816251706557136,0.1852011408910763,0.09556891233484062,0.200160094764891,0.15053913059423726
aorta_detected_circle_coverage,0.14138144181830364,0.9054728758769228,0.9054728758769228,1.0,1.0,-0.8164493774453622,0.19479996156025858,0.2816251706557136,0.1852011408910763,0.09556891233484062,0.200160094764891,0.15053913059423726
aorta_missing_circle_slices,0.3865893300383164,-0.5340572569667218,-0.5340572569667218,-0.8164493774453622,-0.8164493774453622,1.0,-0.06664628361434963,-0.38663593151459696,-0.23118512390185877,-0.10838566436329813,-0.1896528499987573,-0.04822525817238143
aorta_circle_radius_median_mm,0.13515474890785564,0.2136860367439503,0.2136860367439503,0.19479996156025858,0.19479996156025858,-0.06664628361434963,1.0,0.36369194175319514,-0.34743643238321714,-0.4683725941810893,-0.15618550719371116,0.2285579325275084
aorta_circle_radius_std_mm,-0.17094729189269733,0.15005074430624715,0.15005074430624715,0.2816251706557136,0.2816251706557136,-0.38663593151459696,0.36369194175319514,1.0,0.13520985882230876,-0.05402644258834394,0.08165885024367253,0.05979438732981384
aorta_circle_radius_max_step_change_mm,-0.07498682387356734,0.10981848328398267,0.10981848328398267,0.1852011408910763,0.1852011408910763,-0.23118512390185877,-0.34743643238321714,0.13520985882230876,1.0,0.45228057735146737,0.29993455819220793,-0.0809703100304578
aorta_circle_lower_radius_bound_fraction,-0.033595794313138,0.08155018104068071,0.08155018104068071,0.09556891233484062,0.09556891233484062,-0.10838566436329813,-0.4683725941810893,-0.05402644258834394,0.45228057735146737,1.0,0.1694022054414223,0.20564723540097377
aorta_circle_upper_radius_bound_fraction,0.02608428608162081,0.18439256832521989,0.18439256832521989,0.200160094764891,0.200160094764891,-0.1896528499987573,-0.15618550719371116,0.08165885024367253,0.29993455819220793,0.1694022054414223,1.0,-0.018851222539841252
artery_dice,0.03611650057805715,0.13604081930988765,0.13604081930988765,0.15053913059423726,0.15053913059423726,-0.04822525817238143,0.2285579325275084,0.05979438732981384,-0.0809703100304578,0.20564723540097377,-0.018851222539841252,1.0
