,count,mean,std,min,25%,50%,75%,max
image_slice_count,60.0,256.6333333333333,25.724727052408234,206.0,241.0,275.0,275.0,275.0
aorta_circle_count,60.0,105.61666666666666,32.98848883292816,42.0,82.0,99.5,120.75,226.0
aorta_detected_circle_count,60.0,105.61666666666666,32.98848883292816,42.0,82.0,99.5,120.75,226.0
aorta_interpolated_circle_count,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aorta_circle_coverage,60.0,0.40982250558059335,0.11277718325541508,0.18834080717488788,0.34363636363636363,0.4127272727272727,0.47258853818639207,0.8218181818181818
aorta_detected_circle_coverage,60.0,0.40982250558059335,0.11277718325541508,0.18834080717488788,0.34363636363636363,0.4127272727272727,0.47258853818639207,0.8218181818181818
aorta_missing_circle_slices,60.0,151.01666666666668,31.40468046012027,49.0,138.5,151.0,172.0,211.0
aorta_interpolated_circle_fraction,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aorta_circle_radius_min_px,60.0,18.191111111111113,0.39041562028170684,18.0,18.0,18.0,18.0,19.8
aorta_circle_radius_max_px,60.0,26.101586376586376,2.042664723364193,22.33333333333333,24.6,26.0,28.0,30.0
aorta_circle_radius_mean_px,60.0,21.978196403022753,1.413753965863086,19.77372742200328,20.79014350860428,21.72281864307274,22.682326385222723,25.31101651434985
aorta_circle_radius_median_px,60.0,22.251546069671072,1.8158811290651107,19.666666666666668,20.86309523809524,21.86607142857143,23.338541666666664,26.285714285714285
aorta_circle_radius_std_px,60.0,1.8909179097165272,0.6444128989684713,0.8986800105430066,1.3615670815853576,1.801256298967585,2.284920234380886,3.4545076315877004
aorta_circle_radius_p10_px,60.0,19.382884920634922,0.8021517074217572,18.0,19.0,19.23,19.80625,22.4
aorta_circle_radius_p90_px,60.0,24.14017639305139,1.9443522646240332,21.0,22.642240259740262,23.80909090909091,25.2625,29.0
aorta_circle_radius_min_mm,60.0,12.738116319444446,1.057999670447898,11.4609375,11.85693359375,12.62109375,13.376953125,15.36328125
aorta_circle_radius_max_mm,60.0,18.22710766862622,1.542215760856808,15.8935546875,17.23779296875,17.953125,18.8294921875,23.6015625
aorta_circle_radius_mean_mm,60.0,15.365825805902984,1.313952549555047,12.874015170304231,14.383924242058399,15.254411761869157,15.985624885267669,19.01808191984449
aorta_circle_radius_median_mm,60.0,15.551907660752875,1.4782900130068488,12.734375,14.5283203125,15.572560143849206,16.33612060546875,19.4609375
aorta_circle_radius_std_mm,60.0,1.3096265451982527,0.4191942398120732,0.6880518830719894,0.9468815777791728,1.26933699748853,1.5707622138401072,2.604374894126665
aorta_circle_radius_p10_mm,60.0,13.567743954613094,1.159818043577865,11.4609375,12.7578125,13.3625,14.464821428571428,16.5625
aorta_circle_radius_p90_mm,60.0,16.864244610894023,1.5276363121798835,13.99189453125,15.941845703125,16.644743303571428,17.483015950520834,21.36067708333333
aorta_detected_circle_radius_median_mm,60.0,15.551907660752875,1.4782900130068488,12.734375,14.5283203125,15.572560143849206,16.33612060546875,19.4609375
aorta_interpolated_circle_radius_median_mm,0.0,,,,,,,
aorta_circle_radius_first_mm,60.0,14.142855902777777,2.164830951714671,11.4609375,12.515625,13.576171875,15.3564453125,21.0234375
aorta_circle_radius_last_mm,60.0,15.771666370738636,1.8513887396527975,11.673177083333332,15.021484375,15.696304563492063,16.636881510416668,20.65703125
aorta_circle_radius_max_step_change_mm,60.0,3.599670629753638,1.7606597511990079,1.373046875,2.095479910714286,3.21826171875,4.9775390625,7.8203125
aorta_circle_radius_p90_step_change_mm,60.0,1.2174327433092087,0.4641477718093993,0.6821072048611113,0.9092578124999984,1.0749674479166669,1.3396623883928571,2.7548828125
aorta_circle_mean_hough_accumulator,60.0,0.44194880814930687,0.035410503942031595,0.3577322443822334,0.42314251760335814,0.4448121205106435,0.4671901540917476,0.5100283855482507
aorta_circle_lower_radius_bound_fraction,60.0,0.029919643552427943,0.03093163922042372,0.0,0.00838845252859305,0.0239529546758462,0.04,0.1311475409836065
aorta_circle_upper_radius_bound_fraction,60.0,0.0003031305114638433,0.001646465054503949,0.0,0.0,0.0,0.0,0.0092592592592592
artery_dice,60.0,0.5839755379686079,0.17939723711533806,0.0,0.5333767464176316,0.6364335931366818,0.6982599215736042,0.7894684484530955
