reference,variant,paired_images,mean_dice_delta,median_dice_delta,improved_gt_0_01,worsened_lt_minus_0_01
rg_gamma55_current__current_c3_d2,fc_floor020_sigma090__conditioned_p10_f050,30,0.013809118236783003,0.0031118313841960177,10,5
rg_gamma55_current__current_c3_d2,fc_floor020_sigma090__conditioned_p10_f025,30,0.013765446684446398,0.0034759371961506635,9,5
rg_gamma55_current__current_c3_d2,fc_right_permissive__conditioned_p10_f050,30,0.01352401481921393,0.002641093301752606,8,5
rg_gamma55_current__current_c3_d2,fc_floor020__conditioned_p10_f050,30,0.01342920782903215,0.0033678498700248083,9,5
rg_gamma55_current__current_c3_d2,fc_left_permissive__conditioned_p10_f050,30,0.013165712712047318,0.0029938445769310817,9,5
rg_gamma55_current__current_c3_d2,fc_floor020__conditioned_p10_f025,30,0.013164312372295322,0.0029184791698796675,9,5
rg_gamma55_current__current_c3_d2,fc_right_permissive__conditioned_p10_f025,30,0.013146869684828262,0.0027866993514576444,8,5
rg_gamma55_current__current_c3_d2,fc_left_permissive__conditioned_p10_f025,30,0.012871608609219575,0.0029314283533631302,8,5
rg_gamma55_current__current_c3_d2,fc_floor020_sigma110__conditioned_p10_f050,30,0.012845718708945852,0.0030890057692410933,8,5
rg_gamma55_current__current_c3_d2,fc_floor020_sigma110__conditioned_p10_f025,30,0.012348386937033344,0.002008807631132037,8,5
rg_gamma55_current__current_c3_d2,rg_gamma65_no_smooth__conditioned_p10_f025,30,0.012213736294957388,0.00578790234611154,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_switch1000__conditioned_p10_f025,30,0.012181179603655463,0.005761628300335608,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_right_permissive__conditioned_p10_f025,30,0.012149103948411438,0.0066230954574172385,13,7
rg_gamma55_current__current_c3_d2,rg_gamma65_current__conditioned_p10_f025,30,0.012138264607666713,0.005743549042732443,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_switch4000__conditioned_p10_f025,30,0.011912141645094873,0.005787314341869021,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_left_permissive__conditioned_p10_f025,30,0.011779457509334621,0.006737388787156462,14,4
rg_gamma55_current__current_c3_d2,rg_gamma65_relax094__conditioned_p10_f025,30,0.01140971444072658,0.0067752480764948775,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_floor084__conditioned_p10_f025,30,0.010833045204072831,0.003037399703049004,10,9
rg_gamma55_current__current_c3_d2,rg_gamma65_right_permissive__conditioned_p10_f050,30,0.010569586616762772,0.004174129342692345,13,8
rg_gamma55_current__current_c3_d2,rg_gamma65_floor072__conditioned_p10_f025,30,0.010372855091813285,0.005419680517074199,12,5
rg_gamma55_current__current_c3_d2,rg_gamma65_no_smooth__conditioned_p10_f050,30,0.010296114986175482,0.0031308082016826,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_switch1000__conditioned_p10_f050,30,0.010294289544773317,0.00311486355372384,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_current__conditioned_p10_f050,30,0.01024459308330577,0.003076327964434883,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_left_permissive__conditioned_p10_f050,30,0.010114275570741115,0.004578878461875546,13,5
rg_gamma55_current__current_c3_d2,rg_gamma65_switch4000__conditioned_p10_f050,30,0.009992592296737646,0.003119816818404758,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_relax094__conditioned_p10_f050,30,0.009723336223381073,0.003794675676780601,12,8
rg_gamma55_current__current_c3_d2,fc_floor020_weight088__conditioned_p10_f050,30,0.009535855043383898,0.0020932253519052035,8,5
rg_gamma55_current__current_c3_d2,rg_gamma65_neighborhood18__conditioned_p10_f025,30,0.009155371093628845,0.0039401498157925485,10,8
rg_gamma55_current__current_c3_d2,fc_floor020_neighborhood18__conditioned_p10_f050,30,0.009148082245920766,0.0010600398179191617,9,8
rg_gamma55_current__current_c3_d2,fc_floor020_neighborhood18__conditioned_p10_f025,30,0.00912666603020034,0.002712953984329136,8,8
rg_gamma55_current__current_c3_d2,rg_gamma65_floor072__conditioned_p10_f050,30,0.0090477789396277,0.003947035334230464,10,5
rg_gamma55_current__current_c3_d2,fc_floor020_weight088__conditioned_p10_f025,30,0.009031078966710623,0.0025899977064068602,8,6
rg_gamma55_current__current_c3_d2,fc_floor020_alpha018__conditioned_p10_f025,30,0.008965021815486276,0.003117459811624923,9,9
rg_gamma55_current__current_c3_d2,rg_gamma65_no_smooth__current_c3_d2,30,0.00890311247666386,0.001292161717525997,10,8
rg_gamma55_current__current_c3_d2,rg_gamma65_switch1000__current_c3_d2,30,0.008839620217036461,0.001517057651298892,10,8
rg_gamma55_current__current_c3_d2,rg_gamma65_current__current_c3_d2,30,0.008797192146051918,0.001321111505392103,10,8
rg_gamma55_current__current_c3_d2,rg_gamma65_floor084__current_c3_d2,30,0.008778246267546594,0.0001685206487261337,9,9
rg_gamma55_current__current_c3_d2,rg_gamma65_switch4000__current_c3_d2,30,0.008599626539594719,0.001244870895425576,10,8
rg_gamma55_current__current_c3_d2,rg_gamma65_floor084__conditioned_p10_f050,30,0.008390267856565792,0.0007053343856934235,10,10
rg_gamma55_current__current_c3_d2,rg_gamma65_left_permissive__current_c3_d2,30,0.008283846967341869,0.0033122778497989835,9,6
rg_gamma55_current__current_c3_d2,rg_gamma65_right_permissive__current_c3_d2,30,0.008178332244236421,0.0027241392896261707,10,9
