variant,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_mode,morphology_closing_radius,morphology_dilation_radius,morphology_base_dilation_radius,morphology_max_dilation_radius,morphology_support_percentile,morphology_support_factor,morphology_local_max_radius,vesselness_sigmas,vesselness_alpha,vesselness_beta,vesselness_gamma,rg_min_vesselness_fraction,rg_threshold_divisor,rg_comparison_window,rg_relaxed_floor_factor,rg_neighborhood,rg_reference_scope,rg_reference_radius,rg_reference_percentile,rg_branch_overrides,fc_alpha,fc_sigma_hu,fc_candidate_min_vesselness,fc_vesselness_floor,fc_vesselness_weight,fc_seed_search_radius,fc_max_seeds_per_ostium,fc_max_candidate_voxels,fc_max_processed_voxels,fc_grow_each_ostium_separately,fc_branch_overrides,recovery
rg_gamma55_current__current_c3_d2,rg_gamma55_current,current,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma55_current__conditioned_p10_f025,rg_gamma55_current,current,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma55_current__conditioned_p10_f050,rg_gamma55_current,current,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_current__current_c3_d2,rg_gamma65_current,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_current__conditioned_p10_f025,rg_gamma65_current,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_current__conditioned_p10_f050,rg_gamma65_current,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_relax094__current_c3_d2,rg_gamma65_relax094,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.94,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_relax094__conditioned_p10_f025,rg_gamma65_relax094,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.94,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_relax094__conditioned_p10_f050,rg_gamma65_relax094,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.94,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_switch1000__current_c3_d2,rg_gamma65_switch1000,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_switch1000__conditioned_p10_f025,rg_gamma65_switch1000,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_switch1000__conditioned_p10_f050,rg_gamma65_switch1000,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_switch4000__current_c3_d2,rg_gamma65_switch4000,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_switch4000__conditioned_p10_f025,rg_gamma65_switch4000,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_switch4000__conditioned_p10_f050,rg_gamma65_switch4000,gamma65,region_growing,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.078,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_floor072__current_c3_d2,rg_gamma65_floor072,gamma65,region_growing,current_c3_d2,standard,3,2.0,,,,,,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.072,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
rg_gamma65_floor072__conditioned_p10_f025,rg_gamma65_floor072,gamma65,region_growing,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.072,7,1,0.98,26,global,3,95.0,null,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False,null,null
