stage,variant,split,IMG_ID,vesselness_profile,artery_method,ostia_status,ostia_success,left_dist_mm,right_dist_mm,dice_artery,artery_voxels,vesselness_seconds,segmentation_seconds,fc_processed_voxels,fc_candidate_voxels_initial,fc_candidate_voxels_final,fc_effective_alpha,fc_object_seed_count,fc_grow_each_ostium_separately,fc_processed_limit_hit,fc_candidate_limit_hit,error
fc,fc_alpha_014,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5542649542035512,26015,0.3525339810003061,3.087030089001928,7294,604179,500000,0.14,8,False,False,True,
fc,fc_alpha_018,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5435195602855193,21603,0.3525339810003061,2.910748075999436,5892,604179,500000,0.18,8,False,False,True,
fc,fc_candidates_350k,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5591166077738516,23986,0.3525339810003061,2.845214595003199,6485,604179,350000,0.16,8,False,False,True,
fc,fc_candidates_750k,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5586945078083875,24376,0.3525339810003061,3.1285836530005326,6689,604179,604179,0.16,8,False,False,False,
fc,fc_current,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5586945078083875,24376,0.3525339810003061,3.0232757019985,6689,604179,500000,0.16,8,False,False,True,
fc,fc_floor_014,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5523443887526217,23648,0.3525339810003061,3.033473277999292,6513,702755,500000,0.16,8,False,False,True,
fc,fc_floor_022,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5583591250065572,24575,0.3525339810003061,3.094561360998341,6766,535771,500000,0.16,8,False,False,True,
fc,fc_seed_radius_1,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5586945078083875,24376,0.3525339810003061,3.1092268920001516,6689,604179,500000,0.16,8,False,False,True,
fc,fc_seed_radius_3,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5586945078083875,24376,0.3525339810003061,3.0944921169975714,6689,604179,500000,0.16,8,False,False,True,
fc,fc_seeds_2,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5586945078083875,24376,0.3525339810003061,3.0784399019976263,6689,604179,500000,0.16,4,False,False,True,
fc,fc_seeds_6,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5586945078083875,24376,0.3525339810003061,3.0459198809985537,6689,604179,500000,0.16,12,False,False,True,
fc,fc_separate_ostia,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5586945078083875,24376,0.3525339810003061,3.1832747549997293,6689,604179,500000,0.16,8,True,False,True,
fc,fc_sigma_080,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5605289209447037,23954,0.3525339810003061,3.003993927999545,6480,604179,500000,0.16,8,False,False,True,
fc,fc_sigma_120,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5574680539068501,24670,0.3525339810003061,2.999488941997697,6827,604179,500000,0.16,8,False,False,True,
fc,fc_weight_085,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5561140764540257,25277,0.3525339810003061,3.047935612998117,6954,604179,500000,0.16,8,False,False,True,
fc,fc_weight_095,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5409874879341432,22293,0.3525339810003061,2.922124132001045,6219,604179,500000,0.16,8,False,False,True,
fc,fc_alpha_014,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6548580467904421,23859,0.4161749590002728,3.28913468599967,6816,575158,500000,0.14,8,False,False,True,
fc,fc_alpha_018,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6602870813397129,21168,0.4161749590002728,3.174658719000945,5747,575158,500000,0.18,8,False,False,True,
fc,fc_candidates_350k,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6545666688273806,22096,0.4161749590002728,3.0699473210006545,6173,575158,350000,0.16,8,False,False,True,
fc,fc_candidates_750k,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6542648358517816,22206,0.4161749590002728,3.3504567250001855,6231,575158,575158,0.16,8,False,False,False,
fc,fc_current,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6542648358517816,22206,0.4161749590002728,3.267726430998664,6231,575158,500000,0.16,8,False,False,True,
fc,fc_floor_014,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.655088030837863,21992,0.4161749590002728,3.255348515998776,6130,677356,500000,0.16,8,False,False,True,
fc,fc_floor_022,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6532471159423403,22364,0.4161749590002728,3.284382611000183,6304,504174,500000,0.16,8,False,False,True,
fc,fc_seed_radius_1,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6542648358517816,22206,0.4161749590002728,3.216307777998736,6231,575158,500000,0.16,8,False,False,True,
fc,fc_seed_radius_3,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6542648358517816,22206,0.4161749590002728,3.2855576740003016,6231,575158,500000,0.16,8,False,False,True,
fc,fc_seeds_2,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6542648358517816,22206,0.4161749590002728,3.3547582190003595,6231,575158,500000,0.16,4,False,False,True,
fc,fc_seeds_6,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6542648358517816,22206,0.4161749590002728,3.2368174769999314,6231,575158,500000,0.16,12,False,False,True,
fc,fc_separate_ostia,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6542648358517816,22206,0.4161749590002728,3.3407376790000853,6231,575158,500000,0.16,8,True,False,True,
fc,fc_sigma_080,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6575300812301811,21857,0.4161749590002728,3.187541257000703,6032,575158,500000,0.16,8,False,False,True,
