reference,variant,paired_images,mean_dice_delta,median_dice_delta,improved_gt_0_01,worsened_lt_minus_0_01
fc_current,fc_floor_022,30,0.003880688508689199,-0.0007414138814230697,2,1
fc_current,fc_alpha_018,30,0.003792366619897112,0.001521063672075551,4,5
fc_current,fc_weight_085,30,0.00024786699975389476,-0.0012558457199304263,5,4
fc_current,fc_seed_radius_3,30,0.0,0.0,0,0
fc_current,fc_seeds_2,30,0.0,0.0,0,0
fc_current,fc_seed_radius_1,30,0.0,0.0,0,0
fc_current,fc_seeds_6,30,0.0,0.0,0,0
fc_current,fc_separate_ostia,30,0.0,0.0,0,0
fc_current,fc_candidates_750k,30,-2.69410193812214e-06,0.0,0,0
fc_current,fc_candidates_350k,30,-7.30900150153313e-05,-1.6702441041877014e-05,0,0
fc_current,fc_sigma_080,30,-0.0010074164420756444,0.00180986500267305,0,2
fc_current,fc_weight_095,30,-0.0010277428345869402,-0.0008280137996725667,3,4
fc_current,fc_sigma_120,30,-0.001481827868306838,-0.0017603257716505283,0,0
fc_current,fc_floor_014,30,-0.003771360726343566,0.00043897003823906156,0,3
fc_current,fc_alpha_014,30,-0.004577496640526927,-0.0059642137637739845,4,8
