variant,vesselness_profile,artery_method,vesselness_sigmas,vesselness_alpha,vesselness_beta,vesselness_gamma,fc_alpha,fc_sigma_hu,fc_candidate_min_vesselness,fc_vesselness_floor,fc_vesselness_weight,fc_seed_search_radius,fc_max_seeds_per_ostium,fc_max_candidate_voxels,fc_max_processed_voxels,fc_grow_each_ostium_separately
fc_current,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_alpha_014,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.14,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_alpha_018,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.18,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_sigma_080,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,80,0.018,0.018,0.9,2,4,500000,500000,False
fc_sigma_120,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,120,0.018,0.018,0.9,2,4,500000,500000,False
fc_floor_014,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.014,0.014,0.9,2,4,500000,500000,False
fc_floor_022,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.022,0.022,0.9,2,4,500000,500000,False
fc_candidates_350k,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,350000,500000,False
fc_candidates_750k,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,750000,500000,False
fc_weight_085,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.85,2,4,500000,500000,False
fc_weight_095,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.95,2,4,500000,500000,False
fc_seed_radius_1,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,1,4,500000,500000,False
fc_seed_radius_3,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,3,4,500000,500000,False
fc_seeds_2,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,2,500000,500000,False
fc_seeds_6,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,6,500000,500000,False
fc_separate_ostia,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,True
