stage,variant,split,IMG_ID,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_mode,morphology_closing_radius,morphology_dilation_radius,morphology_base_dilation_radius,morphology_max_dilation_radius,morphology_support_percentile,morphology_support_factor,morphology_local_max_radius,ostia_status,ostia_success,left_dist_mm,right_dist_mm,dice_artery,dice_artery_before_morphology,dice_artery_after_morphology,dice_artery_morphology_delta,artery_voxels,artery_voxels_before_morphology,artery_voxels_after_morphology,morphology_added_voxels,recall_before_morphology,recall_after_morphology,precision_before_morphology,precision_after_morphology,vesselness_seconds,segmentation_seconds,morphology_seconds,fc_processed_voxels,fc_candidate_voxels_initial,fc_candidate_voxels_final,fc_effective_alpha,fc_object_seed_count,fc_grow_each_ostium_separately,fc_processed_limit_hit,fc_candidate_limit_hit,recovery_triggered_branches,recovery_accepted_branches,recovery_added_voxels,conditioned_support_threshold,conditioned_shell_voxels,conditioned_accepted_voxels,conditioned_acceptance_rate,error
optimization,fc_affinity_floor024_only__conditioned_p10_f025,train,13,fc_affinity_floor024_only,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5599266754129001,0.31103000811030007,0.5599266754129001,0.24889666730260002,23029,6842,23029,16187,0.18814006254982524,0.4776476359845465,0.8968137971353406,0.6764514308046377,0.3496279950004464,1.56466712800011,2.1242782409999563,6842.0,604179.0,500000.0,0.16,8.0,False,False,True,0,0,0,0.015253874473273754,10639.0,8774.0,0.8247015696964001,
optimization,fc_affinity_floor024_only__conditioned_p10_f050,train,13,fc_affinity_floor024_only,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5600291757840992,0.31103000811030007,0.5600291757840992,0.2489991676737991,22226,6842,22226,15384,0.18814006254982524,0.47084074323909975,0.8968137971353406,0.6909025465670836,0.3496279950004464,1.56466712800011,2.1347157079999306,6842.0,604179.0,500000.0,0.16,8.0,False,False,True,0,0,0,0.030507748946547508,10639.0,7971.0,0.7492245511796222,
optimization,fc_affinity_floor024_only__conditioned_p10_f075,train,13,fc_affinity_floor024_only,current,fuzzy_connectedness,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5597068783656248,0.31103000811030007,0.5597068783656248,0.24867687025532476,21425,6842,21425,14583,0.18814006254982524,0.46369657202428405,0.8968137971353406,0.70585764294049,0.3496279950004464,1.56466712800011,2.1190897920005227,6842.0,604179.0,500000.0,0.16,8.0,False,False,True,0,0,0,0.04576162341982126,10639.0,7170.0,0.6739355202556632,
optimization,fc_affinity_floor024_only__current_c3_d2,train,13,fc_affinity_floor024_only,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5561313208597065,0.31103000811030007,0.5561313208597065,0.24510131274940644,24894,6842,24894,18052,0.18814006254982524,0.4903109094254001,0.8968137971353406,0.6423636217562465,0.3496279950004464,1.56466712800011,1.6717117469997902,6842.0,604179.0,500000.0,0.16,8.0,False,False,True,0,0,0,,,,,
optimization,fc_alpha017__conditioned_p10_f025,train,13,fc_alpha017,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.541347196768523,0.28876288659793814,0.541347196768523,0.2525843101705849,20860,6186,20860,14674,0.1717667259459128,0.44379714233151407,0.9055932751374071,0.6938638542665388,0.3496279950004464,1.4201714560003893,2.128500998999698,6186.0,604179.0,500000.0,0.17,8.0,False,False,True,0,0,0,0.017655126750469208,9743.0,8042.0,0.8254131171097198,
optimization,fc_alpha017__conditioned_p10_f050,train,13,fc_alpha017,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5414488141244223,0.28876288659793814,0.5414488141244223,0.2526859275264841,20174,6186,20174,13988,0.1717667259459128,0.43818605506837555,0.9055932751374071,0.7083870328145138,0.3496279950004464,1.4201714560003893,2.1100980519995574,6186.0,604179.0,500000.0,0.17,8.0,False,False,True,0,0,0,0.035310253500938416,9743.0,7356.0,0.7550035923226932,
optimization,fc_alpha017__conditioned_p10_f075,train,13,fc_alpha017,current,fuzzy_connectedness,conditioned_p10_f075,vesselness_conditioned,3,,1.0,2.0,10.0,0.75,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5390950452093451,0.28876288659793814,0.5390950452093451,0.250332158611407,19477,6186,19477,13291,0.1717667259459128,0.4305206353099896,0.9055932751374071,0.7209015762181034,0.3496279950004464,1.4201714560003893,2.042757667000842,6186.0,604179.0,500000.0,0.17,8.0,False,False,True,0,0,0,0.05296538025140762,9743.0,6659.0,0.6834650518320846,
optimization,fc_alpha017__current_c3_d2,train,13,fc_alpha017,current,fuzzy_connectedness,current_c3_d2,standard,3,2.0,,,,,,both_tolerable,True,0.6953125,1.1031404921008474,0.5383235160851835,0.28876288659793814,0.5383235160851835,0.24956062948724533,22561,6186,22561,16375,0.1717667259459128,0.4553565953271601,0.9055932751374071,0.658259828908293,0.3496279950004464,1.4201714560003893,1.67478748800022,6186.0,604179.0,500000.0,0.17,8.0,False,False,True,0,0,0,,,,,
optimization,fc_candidate024_only__conditioned_p10_f025,train,13,fc_candidate024_only,current,fuzzy_connectedness,conditioned_p10_f025,vesselness_conditioned,3,,1.0,2.0,10.0,0.25,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5621725494461667,0.30745744599648883,0.5621725494461667,0.25471510344967785,22547,6689,22547,15858,0.1852578647206721,0.47540933341509783,0.9032740319928241,0.6876746352064577,0.3496279950004464,1.482926407999912,2.106311429000016,6689.0,508551.0,500000.0,0.16,8.0,False,False,True,0,0,0,0.015957850962877274,10453.0,8624.0,0.8250263082368698,
optimization,fc_candidate024_only__conditioned_p10_f050,train,13,fc_candidate024_only,current,fuzzy_connectedness,conditioned_p10_f050,vesselness_conditioned,3,,1.0,2.0,10.0,0.5,1.0,both_tolerable,True,0.6953125,1.1031404921008474,0.5623529411764706,0.30745744599648883,0.5623529411764706,0.2548954951799818,21786,6689,21786,15097,0.1852578647206721,0.46900104249708713,0.9032740319928241,0.7021022675112457,0.3496279950004464,1.482926407999912,2.052462517999629,6689.0,508551.0,500000.0,0.16,8.0,False,False,True,0,0,0,0.03191570192575455,10453.0,7863.0,0.7522242418444466,
