reference,variant,paired_images,mean_dice_delta,median_dice_delta,improved_gt_0_01,worsened_lt_minus_0_01
rg_gamma55_current__current_c3_d2,fc_floor020_recovery__conditioned_p10_f050,30,0.01343197194123889,0.0033678498700248083,9,5
rg_gamma55_current__current_c3_d2,fc_floor020__conditioned_p10_f050,30,0.01342920782903215,0.0033678498700248083,9,5
rg_gamma55_current__current_c3_d2,fc_floor020__conditioned_p10_f025,30,0.013164312372295322,0.0029184791698796675,9,5
rg_gamma55_current__current_c3_d2,fc_floor020_recovery__conditioned_p10_f025,30,0.013152846501126155,0.0029184791698796675,9,5
rg_gamma55_current__current_c3_d2,fc_floor020_recovery__conditioned_p10_f075,30,0.012856861405367338,0.0018750969207573798,10,7
rg_gamma55_current__current_c3_d2,fc_floor020__conditioned_p10_f075,30,0.012856244794961667,0.0018750969207573798,10,7
rg_gamma55_current__current_c3_d2,rg_gamma65_divisor6__conditioned_p10_f025,30,0.012179936986035679,0.00584348121371242,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_current__conditioned_p10_f025,30,0.012138264607666713,0.005743549042732443,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_divisor8__conditioned_p10_f025,30,0.012036325148750837,0.005649302920626015,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_recovery__conditioned_p10_f025,30,0.01201487956378501,0.004065867911461518,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_relax090__conditioned_p10_f025,30,0.011789614639073392,0.00888700548182203,15,5
rg_gamma55_current__current_c3_d2,rg_gamma65_relax090__conditioned_p10_f050,30,0.01039652491505169,0.007871026570243966,15,6
rg_gamma55_current__current_c3_d2,rg_gamma65_divisor6__conditioned_p10_f050,30,0.010280609424161298,0.003126913271667281,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_current__conditioned_p10_f050,30,0.01024459308330577,0.003076327964434883,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_divisor8__conditioned_p10_f050,30,0.010164585888904636,0.003001658119005768,12,7
rg_gamma55_current__current_c3_d2,rg_gamma65_recovery__conditioned_p10_f050,30,0.010135145349622584,0.001900534196062953,12,7
rg_gamma55_current__current_c3_d2,fc_floor024__conditioned_p10_f050,30,0.009724713772711712,0.002060182867552718,8,6
rg_gamma55_current__current_c3_d2,fc_affinity_floor024_only__conditioned_p10_f050,30,0.009722167175815883,0.002060182867552718,8,6
rg_gamma55_current__current_c3_d2,fc_floor024__conditioned_p10_f075,30,0.009371383176985397,0.0014862585656640892,10,8
rg_gamma55_current__current_c3_d2,fc_affinity_floor024_only__conditioned_p10_f075,30,0.009369798488335163,0.0014862585656640892,10,8
