stage,variant,split,IMG_ID,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_closing_radius,morphology_dilation_radius,ostia_status,ostia_success,left_dist_mm,right_dist_mm,dice_artery,dice_artery_before_morphology,dice_artery_after_morphology,dice_artery_morphology_delta,artery_voxels,artery_voxels_before_morphology,artery_voxels_after_morphology,morphology_added_voxels,recall_before_morphology,recall_after_morphology,precision_before_morphology,precision_after_morphology,vesselness_seconds,segmentation_seconds,morphology_seconds,fc_processed_voxels,fc_candidate_voxels_initial,fc_candidate_voxels_final,fc_effective_alpha,fc_object_seed_count,fc_grow_each_ostium_separately,fc_processed_limit_hit,fc_candidate_limit_hit,error
refinement,fc_alpha_018__closing_c3_d1,train,13,fc_alpha_018,current,fuzzy_connectedness,closing_c3_d1,3,1,both_tolerable,True,0.6953125,1.1031404921008474,0.4748589649251901,0.28239754843401027,0.4748589649251901,0.19246141649117982,12233,5892,12233,6341,0.16670754890537806,0.3264855583491752,0.9227766463000678,0.8704324368511404,0.3605552170010924,1.3665407660009805,1.4196515129988256,5892.0,604179.0,500000.0,0.18,8.0,False,False,True,
refinement,fc_alpha_018__conservative_c2_d1,train,13,fc_alpha_018,current,fuzzy_connectedness,conservative_c2_d1,2,1,both_tolerable,True,0.6953125,1.1031404921008474,0.47372065491746523,0.28239754843401027,0.47372065491746523,0.19132310648345496,12155,5892,12155,6263,0.16670754890537806,0.32513644447169926,0.9227766463000678,0.8723981900452489,0.3605552170010924,1.3665407660009805,0.5376715120000881,5892.0,604179.0,500000.0,0.18,8.0,False,False,True,
refinement,fc_alpha_018__current_c3_d2,train,13,fc_alpha_018,current,fuzzy_connectedness,current_c3_d2,3,2,both_tolerable,True,0.6953125,1.1031404921008474,0.5435195602855193,0.28239754843401027,0.5435195602855193,0.261122011851509,21603,5892,21603,15711,0.16670754890537806,0.4517691788802355,0.9227766463000678,0.6820349025598297,0.3605552170010924,1.3665407660009805,1.6331956899994111,5892.0,604179.0,500000.0,0.18,8.0,False,False,True,
refinement,fc_alpha_018__raw,train,13,fc_alpha_018,current,fuzzy_connectedness,raw,0,0,both_tolerable,True,0.6953125,1.1031404921008474,0.28239754843401027,0.28239754843401027,0.28239754843401027,0.0,5892,5892,5892,0,0.16670754890537806,0.16670754890537806,0.9227766463000678,0.9227766463000678,0.3605552170010924,1.3665407660009805,0.2102872240029683,5892.0,604179.0,500000.0,0.18,8.0,False,False,True,
refinement,fc_current__closing_c3_d1,train,13,fc_current,current,fuzzy_connectedness,closing_c3_d1,3,1,both_tolerable,True,0.6953125,1.1031404921008474,0.503943099039474,0.30745744599648883,0.503943099039474,0.19648565304298515,13923,6689,13923,7234,0.1852578647206721,0.3595388483473355,0.9032740319928241,0.842203548085901,0.3605552170010924,1.4642390990011336,1.3754431039997144,6689.0,604179.0,500000.0,0.16,8.0,False,False,True,
refinement,fc_current__conservative_c2_d1,train,13,fc_current,current,fuzzy_connectedness,conservative_c2_d1,2,1,both_tolerable,True,0.6953125,1.1031404921008474,0.5013160733549084,0.30745744599648883,0.5013160733549084,0.19385862735841952,13736,6689,13736,7047,0.1852578647206721,0.35622738701171275,0.9032740319928241,0.8458066394874781,0.3605552170010924,1.4642390990011336,0.5283125940004538,6689.0,604179.0,500000.0,0.16,8.0,False,False,True,
refinement,fc_current__current_c3_d2,train,13,fc_current,current,fuzzy_connectedness,current_c3_d2,3,2,both_tolerable,True,0.6953125,1.1031404921008474,0.5586945078083875,0.30745744599648883,0.5586945078083875,0.25123706181189864,24376,6689,24376,17687,0.1852578647206721,0.4881339302140185,0.9032740319928241,0.6531014112241549,0.3605552170010924,1.4642390990011336,1.6436849589990743,6689.0,604179.0,500000.0,0.16,8.0,False,False,True,
refinement,fc_current__raw,train,13,fc_current,current,fuzzy_connectedness,raw,0,0,both_tolerable,True,0.6953125,1.1031404921008474,0.30745744599648883,0.30745744599648883,0.30745744599648883,0.0,6689,6689,6689,0,0.1852578647206721,0.1852578647206721,0.9032740319928241,0.9032740319928241,0.3605552170010924,1.4642390990011336,0.20904425499975332,6689.0,604179.0,500000.0,0.16,8.0,False,False,True,
refinement,fc_floor_020__closing_c3_d1,train,13,fc_floor_020,current,fuzzy_connectedness,closing_c3_d1,3,1,both_tolerable,True,0.6953125,1.1031404921008474,0.5050734742035825,0.30884184308841844,0.5050734742035825,0.19623163111516406,14001,6733,14001,7268,0.1863003618078126,0.36094928558287853,0.902420911926333,0.8407970859224341,0.3605552170010924,1.4599613630016393,1.4125678249984048,6733.0,567249.0,500000.0,0.16,8.0,False,False,True,
refinement,fc_floor_020__conservative_c2_d1,train,13,fc_floor_020,current,fuzzy_connectedness,conservative_c2_d1,2,1,both_tolerable,True,0.6953125,1.1031404921008474,0.5022404136148212,0.30884184308841844,0.5022404136148212,0.19339857052640275,13806,6733,13806,7073,0.1863003618078126,0.357423192494021,0.902420911926333,0.8443430392582935,0.3605552170010924,1.4599613630016393,0.5343787919991883,6733.0,567249.0,500000.0,0.16,8.0,False,False,True,
