reference,variant,paired_images,mean_dice_delta,median_dice_delta,improved_gt_0_01,worsened_lt_minus_0_01
rg_gamma55__current_c3_d2,rg_gamma70__current_c3_d2,30,0.009656875357458778,0.00029240197223073805,10,9
rg_gamma55__current_c3_d2,rg_gamma65__current_c3_d2,30,0.008797192146051918,0.001321111505392103,10,8
rg_gamma55__current_c3_d2,fc_floor_020__current_c3_d2,30,0.006968027324953191,-0.0006143604992695784,8,9
rg_gamma55__current_c3_d2,fc_floor_022__current_c3_d2,30,0.006363051638609124,-0.0006754091575795484,8,9
rg_gamma55__current_c3_d2,fc_alpha_018__current_c3_d2,30,0.006274729749817037,-0.0005391220060957935,8,10
rg_gamma55__current_c3_d2,rg_gamma60__current_c3_d2,30,0.005838594533477012,0.00038023495971334365,10,4
rg_gamma55__current_c3_d2,fc_floor_022_alpha_018__current_c3_d2,30,0.003996521519047197,-0.001225686331257858,8,10
rg_gamma55__current_c3_d2,fc_current__current_c3_d2,30,0.002482363129919925,-0.002429362890164488,8,10
rg_gamma55__current_c3_d2,fc_floor_024__current_c3_d2,30,0.0020383995563329556,-0.0011775916319046176,6,9
rg_gamma55__current_c3_d2,fc_floor_022__closing_c3_d1,30,-0.043295813151233056,-0.054357348351135815,4,24
rg_gamma55__current_c3_d2,fc_floor_022__conservative_c2_d1,30,-0.04394274958564767,-0.05632748595838716,4,24
rg_gamma55__current_c3_d2,fc_floor_020__closing_c3_d1,30,-0.04480052374840256,-0.05405393001547426,4,24
rg_gamma55__current_c3_d2,fc_floor_024__closing_c3_d1,30,-0.04488661040491105,-0.05318957109416006,4,25
rg_gamma55__current_c3_d2,fc_floor_020__conservative_c2_d1,30,-0.045381717143861654,-0.05578406662880436,4,24
rg_gamma55__current_c3_d2,fc_floor_024__conservative_c2_d1,30,-0.045417355756783524,-0.05473800435072945,4,25
rg_gamma55__current_c3_d2,fc_current__closing_c3_d1,30,-0.05115350454919499,-0.05580306534313917,4,25
rg_gamma55__current_c3_d2,fc_current__conservative_c2_d1,30,-0.051722698450596086,-0.05738069859732042,4,25
rg_gamma55__current_c3_d2,fc_floor_022_alpha_018__closing_c3_d1,30,-0.06388044804689642,-0.0688262028738506,3,26
rg_gamma55__current_c3_d2,fc_floor_022_alpha_018__conservative_c2_d1,30,-0.06461741069558952,-0.06962891731088333,3,26
rg_gamma55__current_c3_d2,fc_alpha_018__closing_c3_d1,30,-0.06476266384694318,-0.07177543193429947,3,26
rg_gamma55__current_c3_d2,fc_alpha_018__conservative_c2_d1,30,-0.0656092972317427,-0.07329026741137584,3,26
rg_gamma55__current_c3_d2,rg_gamma55__closing_c3_d1,30,-0.06853137580377376,-0.0679429169589626,0,28
rg_gamma55__current_c3_d2,rg_gamma55__conservative_c2_d1,30,-0.06960842680238297,-0.0719343696223401,0,27
rg_gamma55__current_c3_d2,rg_gamma60__closing_c3_d1,30,-0.07835265003793043,-0.08321467088237833,1,26
rg_gamma55__current_c3_d2,rg_gamma60__conservative_c2_d1,30,-0.0795702823336659,-0.08437145401226642,2,26
rg_gamma55__current_c3_d2,rg_gamma65__closing_c3_d1,30,-0.08717104335443096,-0.09638846250193084,3,25
rg_gamma55__current_c3_d2,rg_gamma65__conservative_c2_d1,30,-0.08843932777952102,-0.09827287809463056,3,26
rg_gamma55__current_c3_d2,rg_gamma70__closing_c3_d1,30,-0.09908478556705462,-0.10608011250221913,3,26
rg_gamma55__current_c3_d2,rg_gamma70__conservative_c2_d1,30,-0.10033585121899273,-0.10711742626852516,3,26
rg_gamma55__current_c3_d2,fc_floor_024__raw,30,-0.24041518186132504,-0.26322603167625447,0,29
rg_gamma55__current_c3_d2,fc_floor_022__raw,30,-0.2410607889133676,-0.26481083477798495,0,29
rg_gamma55__current_c3_d2,fc_floor_020__raw,30,-0.24312861429341406,-0.266169250877155,0,29
rg_gamma55__current_c3_d2,fc_current__raw,30,-0.24847351030001258,-0.2721185019721928,0,29
rg_gamma55__current_c3_d2,fc_floor_022_alpha_018__raw,30,-0.26570138179561487,-0.292672528464499,0,29
rg_gamma55__current_c3_d2,fc_alpha_018__raw,30,-0.26823638616909923,-0.2952861756458194,0,29
rg_gamma55__current_c3_d2,rg_gamma55__raw,30,-0.2713659081061686,-0.2972502013940286,0,29
rg_gamma55__current_c3_d2,rg_gamma60__raw,30,-0.28644125944695914,-0.30999890462948226,0,29
rg_gamma55__current_c3_d2,rg_gamma65__raw,30,-0.2986935473259044,-0.3228382757917372,0,29
rg_gamma55__current_c3_d2,rg_gamma70__raw,30,-0.3124356801286739,-0.34050335226298917,0,29
