variant,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_closing_radius,morphology_dilation_radius,vesselness_sigmas,vesselness_alpha,vesselness_beta,vesselness_gamma,fc_alpha,fc_sigma_hu,fc_candidate_min_vesselness,fc_vesselness_floor,fc_vesselness_weight,fc_seed_search_radius,fc_max_seeds_per_ostium,fc_max_candidate_voxels,fc_max_processed_voxels,fc_grow_each_ostium_separately
rg_gamma55__raw,rg_gamma55,current,region_growing,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma55__conservative_c2_d1,rg_gamma55,current,region_growing,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma55__closing_c3_d1,rg_gamma55,current,region_growing,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma55__current_c3_d2,rg_gamma55,current,region_growing,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma60__raw,rg_gamma60,gamma60,region_growing,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,60,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma60__conservative_c2_d1,rg_gamma60,gamma60,region_growing,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,60,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma60__closing_c3_d1,rg_gamma60,gamma60,region_growing,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,60,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma60__current_c3_d2,rg_gamma60,gamma60,region_growing,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,60,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma65__raw,rg_gamma65,gamma65,region_growing,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma65__conservative_c2_d1,rg_gamma65,gamma65,region_growing,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma65__closing_c3_d1,rg_gamma65,gamma65,region_growing,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma65__current_c3_d2,rg_gamma65,gamma65,region_growing,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma70__raw,rg_gamma70,gamma70,region_growing,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,70,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma70__conservative_c2_d1,rg_gamma70,gamma70,region_growing,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,70,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma70__closing_c3_d1,rg_gamma70,gamma70,region_growing,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,70,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
rg_gamma70__current_c3_d2,rg_gamma70,gamma70,region_growing,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,70,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_current__raw,fc_current,current,fuzzy_connectedness,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_current__conservative_c2_d1,fc_current,current,fuzzy_connectedness,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_current__closing_c3_d1,fc_current,current,fuzzy_connectedness,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_current__current_c3_d2,fc_current,current,fuzzy_connectedness,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_floor_020__raw,fc_floor_020,current,fuzzy_connectedness,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False
fc_floor_020__conservative_c2_d1,fc_floor_020,current,fuzzy_connectedness,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False
fc_floor_020__closing_c3_d1,fc_floor_020,current,fuzzy_connectedness,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False
fc_floor_020__current_c3_d2,fc_floor_020,current,fuzzy_connectedness,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.02,0.02,0.9,2,4,500000,500000,False
fc_floor_022__raw,fc_floor_022,current,fuzzy_connectedness,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.022,0.022,0.9,2,4,500000,500000,False
fc_floor_022__conservative_c2_d1,fc_floor_022,current,fuzzy_connectedness,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.022,0.022,0.9,2,4,500000,500000,False
fc_floor_022__closing_c3_d1,fc_floor_022,current,fuzzy_connectedness,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.022,0.022,0.9,2,4,500000,500000,False
fc_floor_022__current_c3_d2,fc_floor_022,current,fuzzy_connectedness,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.022,0.022,0.9,2,4,500000,500000,False
fc_floor_024__raw,fc_floor_024,current,fuzzy_connectedness,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.024,0.024,0.9,2,4,500000,500000,False
fc_floor_024__conservative_c2_d1,fc_floor_024,current,fuzzy_connectedness,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.024,0.024,0.9,2,4,500000,500000,False
fc_floor_024__closing_c3_d1,fc_floor_024,current,fuzzy_connectedness,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.024,0.024,0.9,2,4,500000,500000,False
fc_floor_024__current_c3_d2,fc_floor_024,current,fuzzy_connectedness,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.024,0.024,0.9,2,4,500000,500000,False
fc_alpha_018__raw,fc_alpha_018,current,fuzzy_connectedness,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.18,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_alpha_018__conservative_c2_d1,fc_alpha_018,current,fuzzy_connectedness,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.18,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_alpha_018__closing_c3_d1,fc_alpha_018,current,fuzzy_connectedness,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.18,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_alpha_018__current_c3_d2,fc_alpha_018,current,fuzzy_connectedness,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.18,100,0.018,0.018,0.9,2,4,500000,500000,False
fc_floor_022_alpha_018__raw,fc_floor_022_alpha_018,current,fuzzy_connectedness,raw,0,0,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.18,100,0.022,0.022,0.9,2,4,500000,500000,False
fc_floor_022_alpha_018__conservative_c2_d1,fc_floor_022_alpha_018,current,fuzzy_connectedness,conservative_c2_d1,2,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.18,100,0.022,0.022,0.9,2,4,500000,500000,False
fc_floor_022_alpha_018__closing_c3_d1,fc_floor_022_alpha_018,current,fuzzy_connectedness,closing_c3_d1,3,1,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.18,100,0.022,0.022,0.9,2,4,500000,500000,False
fc_floor_022_alpha_018__current_c3_d2,fc_floor_022_alpha_018,current,fuzzy_connectedness,current_c3_d2,3,2,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.18,100,0.022,0.022,0.9,2,4,500000,500000,False
