stage,variant,split,IMG_ID,vesselness_profile,artery_method,ostia_status,ostia_success,left_dist_mm,right_dist_mm,dice_artery,artery_voxels,vesselness_seconds,segmentation_seconds,fc_processed_voxels,fc_candidate_voxels_initial,fc_candidate_voxels_final,fc_effective_alpha,fc_object_seed_count,fc_grow_each_ostium_separately,fc_processed_limit_hit,fc_candidate_limit_hit,error
vesselness,broad_fc,train,13,broad,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5542135434229484,32628,0.4204742880001504,3.130751546999818,8464.0,839270.0,500000.0,0.16,8.0,False,False,True,
vesselness,broad_rg,train,13,broad,region_growing,both_tolerable,True,0.6953125,1.1031404921008474,0.5171941736940094,40434,0.4204742880001504,1.6581297799998538,,,,,,,False,False,
vesselness,current_fc,train,13,current,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5586945078083875,24376,0.373269344000164,3.010978451999563,6689.0,604179.0,500000.0,0.16,8.0,False,False,True,
vesselness,current_rg,train,13,current,region_growing,both_tolerable,True,0.6953125,1.1031404921008474,0.5717081353089181,24618,0.373269344000164,1.6298805119999997,,,,,,,False,False,
vesselness,fine_fc,train,13,fine,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.45824917885631516,65420,0.3919238309999855,3.9713994800004,15028.0,1423262.0,500000.0,0.16,8.0,False,False,True,
vesselness,fine_rg,train,13,fine,region_growing,both_tolerable,True,0.6953125,1.1031404921008474,0.4658401669173662,49822,0.3919238309999855,1.6653140570001597,,,,,,,False,False,
vesselness,gamma45_fc,train,13,gamma45,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5576926192983878,29101,0.35744619500019326,3.1775634690002335,8062.0,749706.0,500000.0,0.16,8.0,False,False,True,
vesselness,gamma45_rg,train,13,gamma45,region_growing,both_tolerable,True,0.6953125,1.1031404921008474,0.5621454527516977,28203,0.35744619500019326,1.6314223919998767,,,,,,,False,False,
vesselness,gamma65_fc,train,13,gamma65,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5450545352847954,21021,0.3570254109999951,2.8774725770003897,5641.0,510100.0,500000.0,0.16,8.0,False,False,True,
vesselness,gamma65_rg,train,13,gamma65,region_growing,both_tolerable,True,0.6953125,1.1031404921008474,0.5605739261936816,21609,0.3570254109999951,1.6254450299998098,,,,,,,False,False,
vesselness,intermediate_fc,train,13,intermediate,fuzzy_connectedness,both_tolerable,True,0.6953125,1.1031404921008474,0.5537778458240833,32701,0.47116899799993917,3.145390899999711,8505.0,837291.0,500000.0,0.16,8.0,False,False,True,
vesselness,intermediate_rg,train,13,intermediate,region_growing,both_tolerable,True,0.6953125,1.1031404921008474,0.5172729884664322,40477,0.47116899799993917,1.6485214149997773,,,,,,,False,False,
vesselness,broad_fc,train,28,broad,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6532615337610754,28183,0.4829684870001074,3.257356573999914,7607.0,815920.0,500000.0,0.16,8.0,False,False,True,
vesselness,broad_rg,train,28,broad,region_growing,both_tolerable,True,0.671875,0.671875,0.6391545843744529,38648,0.4829684870001074,1.8805466150001848,,,,,,,False,False,
vesselness,current_fc,train,28,current,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6542648358517816,22206,0.42340866099993946,3.21538232399962,6231.0,575158.0,500000.0,0.16,8.0,False,False,True,
vesselness,current_rg,train,28,current,region_growing,both_tolerable,True,0.671875,0.671875,0.6673056529896403,24851,0.42340866099993946,1.8508978579998256,,,,,,,False,False,
vesselness,fine_fc,train,28,fine,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.5855708925043426,51232,0.45170253100013724,3.7004721530001916,11813.0,1356753.0,500000.0,0.16,8.0,False,False,True,
vesselness,fine_rg,train,28,fine,region_growing,both_tolerable,True,0.671875,0.671875,0.5220422049342184,59881,0.45170253100013724,1.8916404789997614,,,,,,,False,False,
vesselness,gamma45_fc,train,28,gamma45,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6468871963927096,28597,0.4088998980000724,3.4679529579998416,7951.0,728445.0,500000.0,0.16,8.0,False,False,True,
vesselness,gamma45_rg,train,28,gamma45,region_growing,both_tolerable,True,0.671875,0.671875,0.657448832211928,32589,0.4088998980000724,1.8653845320000073,,,,,,,False,False,
vesselness,gamma65_fc,train,28,gamma65,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.6564039688486252,19858,0.4092429249999441,3.0684274189998177,5371.0,476309.0,476309.0,0.16,8.0,False,False,False,
vesselness,gamma65_rg,train,28,gamma65,region_growing,both_tolerable,True,0.671875,0.671875,0.6715735120934867,19971,0.4092429249999441,1.8322150840003815,,,,,,,False,False,
vesselness,intermediate_fc,train,28,intermediate,fuzzy_connectedness,both_tolerable,True,0.671875,0.671875,0.652725572875923,28226,0.5415161589999116,3.2854421649999495,7629.0,813361.0,500000.0,0.16,8.0,False,False,True,
vesselness,intermediate_rg,train,28,intermediate,region_growing,both_tolerable,True,0.671875,0.671875,0.6389321963791403,38673,0.5415161589999116,1.8685269089996837,,,,,,,False,False,
vesselness,broad_fc,train,44,broad,fuzzy_connectedness,both_tolerable,True,1.76953125,0.58984375,0.33542337672238,165853,0.35899218499980634,8.876820959999804,41205.0,827015.0,500000.0,0.16,8.0,False,False,True,
vesselness,broad_rg,train,44,broad,region_growing,both_tolerable,True,1.76953125,0.58984375,0.2245253146136742,299565,0.35899218499980634,1.812593939999715,,,,,,,False,False,
vesselness,current_fc,train,44,current,fuzzy_connectedness,both_tolerable,True,1.76953125,0.58984375,0.4647021745981721,82889,0.32401793000008183,6.1225042889996075,21235.0,562876.0,500000.0,0.16,8.0,False,False,True,
vesselness,current_rg,train,44,current,region_growing,both_tolerable,True,1.76953125,0.58984375,0.41356941265673486,98407,0.32401793000008183,1.5184962309999719,,,,,,,False,False,
vesselness,fine_fc,train,44,fine,fuzzy_connectedness,both_tolerable,True,1.76953125,0.58984375,0.09659377198415037,787534,0.3334767740002462,33.13163101600003,201775.0,1267098.0,500000.0,0.16,8.0,False,False,True,
vesselness,fine_rg,train,44,fine,region_growing,both_tolerable,True,1.76953125,0.58984375,0.13145785659464448,521443,0.3334767740002462,2.8113826230000996,,,,,,,False,False,
vesselness,gamma45_fc,train,44,gamma45,fuzzy_connectedness,both_tolerable,True,1.76953125,0.58984375,0.3443896193654013,132490,0.3090205309999874,8.743598337000094,35968.0,712480.0,500000.0,0.16,8.0,False,False,True,
vesselness,gamma45_rg,train,44,gamma45,region_growing,both_tolerable,True,1.76953125,0.58984375,0.257941074428143,247082,0.3090205309999874,1.7605114509997293,,,,,,,False,False,
vesselness,gamma65_fc,train,44,gamma65,fuzzy_connectedness,both_tolerable,True,1.76953125,0.58984375,0.6627231216272312,42693,0.30988826600014363,4.041213029000119,11701.0,462517.0,462517.0,0.16,8.0,False,False,False,
vesselness,gamma65_rg,train,44,gamma65,region_growing,both_tolerable,True,1.76953125,0.58984375,0.468022968022968,77181,0.30988826600014363,1.475333469999896,,,,,,,False,False,
vesselness,intermediate_fc,train,44,intermediate,fuzzy_connectedness,both_tolerable,True,1.76953125,0.58984375,0.33519345769049624,166170,0.4185525730003974,8.971141872000317,41555.0,825226.0,500000.0,0.16,8.0,False,False,True,
vesselness,intermediate_rg,train,44,intermediate,region_growing,both_tolerable,True,1.76953125,0.58984375,0.22339733112711135,301658,0.4185525730003974,1.8148937859996295,,,,,,,False,False,
