reference,variant,paired_images,mean_dice_delta,median_dice_delta,improved_gt_0_01,worsened_lt_minus_0_01
current_rg,gamma65_rg,30,0.008797192146051918,0.001321111505392103,10,8
current_fc,gamma65_fc,30,-0.012474186790580337,-0.007728772158154318,4,13
current_fc,gamma45_fc,30,-0.01761944735759903,-0.007412942891088736,3,13
current_fc,broad_fc,30,-0.02033406648364424,-0.008546990089703166,5,15
current_fc,intermediate_fc,30,-0.020707545028974757,-0.008799217812598653,5,15
current_rg,gamma45_rg,30,-0.03543323887164285,-0.028191849651961365,4,20
current_rg,broad_rg,30,-0.03955784003263485,-0.02644891143362077,5,22
current_rg,intermediate_rg,30,-0.039737107309878776,-0.02661666876663149,5,22
current_fc,fine_fc,30,-0.15253410864986436,-0.15418825682825785,4,25
current_rg,fine_rg,30,-0.241883722463105,-0.22318419506742126,2,27
