variant,images,valid_dice_images,ostia_success_rate,mean_dice,median_dice,std_dice,mean_dice_success_ostia,zero_dice_rate,processed_limit_hit_rate,candidate_limit_hit_rate,error_count,mean_vesselness_seconds,mean_segmentation_seconds
gamma65_rg,30,30,0.9333333333333333,0.6024651693419557,0.6468177834092089,0.1526183645565141,0.6284471734677693,0.03333333333333333,0.0,0.0,0,0.3825673174333436,1.7274498601334167
current_fc,30,30,0.9333333333333333,0.5961503403258237,0.6403448730658845,0.14864162626289548,0.6216688688902801,0.03333333333333333,0.0,0.7333333333333333,0,0.39211882606671983,3.298698935399989
current_rg,30,30,0.9333333333333333,0.5936679771959038,0.627676927237818,0.15190235086984757,0.619379236166288,0.03333333333333333,0.0,0.0,0,0.39211882606671983,1.7375807825332685
gamma65_fc,30,30,0.9333333333333333,0.5836761535352434,0.6246823763992768,0.15510008800938382,0.6089662111515634,0.03333333333333333,0.0,0.23333333333333334,0,0.3825673174333436,2.987980765066671
gamma45_fc,30,30,0.9333333333333333,0.5785308929682246,0.6178367776894057,0.15069705096955566,0.6035299071595758,0.03333333333333333,0.0,0.9,0,0.3836310395999893,3.6936195048000173
broad_fc,30,30,0.9333333333333333,0.5758162738421794,0.5983645775499693,0.14583441522311558,0.6003328339361599,0.03333333333333333,0.0,0.9666666666666667,0,0.44804258159999033,3.8177292688000306
intermediate_fc,30,30,0.9333333333333333,0.575442795296849,0.5983602263392981,0.14574550276552972,0.5999351339892675,0.03333333333333333,0.0,0.9666666666666667,0,0.5066089875333849,3.835914426299996
gamma45_rg,30,30,0.9333333333333333,0.558234738324261,0.6088653400242119,0.1595329658868774,0.5822156827146509,0.03333333333333333,0.0,0.0,0,0.3836310395999893,1.7719546342333463
broad_rg,30,30,0.9333333333333333,0.554110137163269,0.59904347630518,0.15580254110835537,0.5777282139256698,0.03333333333333333,0.0,0.0,0,0.44804258159999033,1.782885093033398
intermediate_rg,30,30,0.9333333333333333,0.5539308698860251,0.598890984048678,0.15583942966248188,0.5775473676775565,0.03333333333333333,0.0,0.0,0,0.5066089875333849,1.7833792943666595
fine_fc,30,30,0.9333333333333333,0.4436162316759594,0.48070490732794313,0.16103470724641475,0.4652238895115989,0.03333333333333333,0.0,1.0,0,0.41828630050000964,5.589404269500028
fine_rg,30,30,0.9333333333333333,0.3517842547327987,0.3881596635647183,0.16320254479805799,0.3690381826043841,0.03333333333333333,0.0,0.0,0,0.41828630050000964,1.9775595215666877
