variant,vesselness_profile,artery_method,vesselness_sigmas,vesselness_alpha,vesselness_beta,vesselness_gamma,fc_alpha,fc_sigma_hu,fc_candidate_min_vesselness,fc_vesselness_floor,fc_vesselness_weight,fc_seed_search_radius,fc_max_seeds_per_ostium,fc_max_candidate_voxels,fc_max_processed_voxels,fc_grow_each_ostium_separately
current_rg,current,region_growing,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
current_fc,current,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
fine_rg,fine,region_growing,"[1.0, 1.25, 1.5, 1.75, 2.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
fine_fc,fine,fuzzy_connectedness,"[1.0, 1.25, 1.5, 1.75, 2.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
intermediate_rg,intermediate,region_growing,"[1.25, 1.5, 1.75, 2.0, 2.25, 2.5]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
intermediate_fc,intermediate,fuzzy_connectedness,"[1.25, 1.5, 1.75, 2.0, 2.25, 2.5]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
broad_rg,broad,region_growing,"[1.25, 1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
broad_fc,broad,fuzzy_connectedness,"[1.25, 1.5, 2.0, 2.5, 3.0]",0.5,0.5,55,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
gamma45_rg,gamma45,region_growing,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,45,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
gamma45_fc,gamma45,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,45,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
gamma65_rg,gamma65,region_growing,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
gamma65_fc,gamma65,fuzzy_connectedness,"[1.5, 2.0, 2.5, 3.0]",0.5,0.5,65,0.16,100,0.018,0.018,0.9,2,4,500000,500000,False
