img_id,sample_split,image_shape,label_shape,down_label_shape,spacing_mm,scaled_spacing_mm
28,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.3359375, 0.3359375, 0.5]","[0.671875, 0.671875, 0.5]"
380,train,"[512, 512, 206]","[512, 512, 206]","[256, 256, 206]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
854,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
937,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.34765625, 0.34765625, 0.5]","[0.6953125, 0.6953125, 0.5]"
315,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.341796875, 0.341796875, 0.5]","[0.68359375, 0.68359375, 0.5]"
428,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.349609375, 0.349609375, 0.5]","[0.69921875, 0.69921875, 0.5]"
752,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
13,train,"[512, 512, 241]","[512, 512, 241]","[256, 256, 241]","[0.34765625, 0.34765625, 0.5]","[0.6953125, 0.6953125, 0.5]"
538,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
965,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.38671875, 0.38671875, 0.5]","[0.7734375, 0.7734375, 0.5]"
447,train,"[512, 512, 245]","[512, 512, 245]","[256, 256, 245]","[0.34765625, 0.34765625, 0.5]","[0.6953125, 0.6953125, 0.5]"
836,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
603,train,"[512, 512, 206]","[512, 512, 206]","[256, 256, 206]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
676,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.369140625, 0.369140625, 0.5]","[0.73828125, 0.73828125, 0.5]"
44,train,"[512, 512, 206]","[512, 512, 206]","[256, 256, 206]","[0.294921875, 0.294921875, 0.5]","[0.58984375, 0.58984375, 0.5]"
129,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.373046875, 0.373046875, 0.5]","[0.74609375, 0.74609375, 0.5]"
518,train,"[512, 512, 243]","[512, 512, 243]","[256, 256, 243]","[0.345703125, 0.345703125, 0.5]","[0.69140625, 0.69140625, 0.5]"
793,train,"[512, 512, 206]","[512, 512, 206]","[256, 256, 206]","[0.33984375, 0.33984375, 0.5]","[0.6796875, 0.6796875, 0.5]"
550,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.34765625, 0.34765625, 0.5]","[0.6953125, 0.6953125, 0.5]"
631,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.3515625, 0.3515625, 0.5]","[0.703125, 0.703125, 0.5]"
330,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
90,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.330078125, 0.330078125, 0.5]","[0.66015625, 0.66015625, 0.5]"
608,train,"[512, 512, 206]","[512, 512, 206]","[256, 256, 206]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
887,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.39453125, 0.39453125, 0.5]","[0.7890625, 0.7890625, 0.5]"
175,train,"[512, 512, 231]","[512, 512, 231]","[256, 256, 231]","[0.318359375, 0.318359375, 0.5]","[0.63671875, 0.63671875, 0.5]"
760,train,"[512, 512, 275]","[512, 512, 275]","[256, 256, 275]","[0.328125, 0.328125, 0.5]","[0.65625, 0.65625, 0.5]"
