sample_order,img_id,split
1,28,train
2,380,train
3,854,train
4,937,train
5,315,train
6,428,train
7,752,train
8,13,train
9,538,train
10,965,train
11,447,train
12,836,train
13,603,train
14,676,train
15,44,train
16,129,train
17,518,train
18,793,train
19,550,train
20,631,train
21,330,train
22,90,train
23,608,train
24,887,train
25,175,train
26,760,train
27,696,train
28,194,train
29,305,train
30,344,train
31,867,val
32,450,val
33,788,val
34,362,val
35,10,val
36,605,val
37,23,val
38,553,val
39,922,val
40,682,val
41,934,val
42,737,val
43,510,val
44,2,val
45,420,val
46,881,val
47,11,val
48,906,val
49,251,val
50,409,val
51,134,val
52,822,val
53,248,val
54,907,val
55,873,val
56,376,val
57,821,val
58,988,val
59,750,val
60,459,val
