variant,threshold_method,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,max_threshold_percentile,fuzzy_object_percentile,fuzzy_dense_percentile,fuzzy_soft_margin_hu,fuzzy_smooth_radius,fuzzy_smooth_mode,run_dir,return_code,duration_seconds,duration_minutes,n_images,mean_min_threshold_hu,mean_max_threshold_hu,std_min_threshold_hu,mean_object_center_hu,mean_dice,median_dice,ostia_success_rate,both_correct_n,both_tolerable_n,found_wrong_n,not_found_n
fixed_m300,normal,fixed,,,99.7,,,,,,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300/segmentation/runs/mid_res/2026-06-30_13-13-55,0,1372.918244553,22.88197074255,30,-300.0,761.1416666666667,0.0,,0.5990213522765496,0.6268980665841977,0.9,0,27,3,0
fixed_m300_thfuzzy_objp99p5_densep99p9_m120p0_r1_mean,fuzzy,fixed,,,99.7,99.5,99.9,120.0,1.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300_thfuzzy_objp99p5_densep99p9_m120p0_r1_mean/segmentation/runs/mid_res/2026-06-30_13-36-48,0,1302.600786563,21.710013109383333,30,-300.0,,0.0,,0.6149414798653363,0.6311018385543796,0.9,0,27,3,0
fixed_m300_thfuzzy_objp99p5_densep99p9_m120p0_r2_mean,fuzzy,fixed,,,99.7,99.5,99.9,120.0,2.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300_thfuzzy_objp99p5_densep99p9_m120p0_r2_mean/segmentation/runs/mid_res/2026-06-30_13-58-30,0,1285.48928333,21.424821388833333,30,-300.0,,0.0,,0.6149460343823259,0.6316784196302923,0.9,0,27,3,0
fixed_m300_thfuzzy_objp99p5_densep99p9_m160p0_r1_mean,fuzzy,fixed,,,99.7,99.5,99.9,160.0,1.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300_thfuzzy_objp99p5_densep99p9_m160p0_r1_mean/segmentation/runs/mid_res/2026-06-30_14-19-56,0,1322.8822346440002,22.04803724406667,30,-300.0,,0.0,,0.6147943775627431,0.6311132428396251,0.9,0,27,3,0
fixed_m300_thfuzzy_objp99p5_densep99p9_m160p0_r2_mean,fuzzy,fixed,,,99.7,99.5,99.9,160.0,2.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300_thfuzzy_objp99p5_densep99p9_m160p0_r2_mean/segmentation/runs/mid_res/2026-06-30_14-41-59,0,1362.8138685530012,22.713564475883352,30,-300.0,,0.0,,0.614887395874654,0.6316714496333748,0.9,0,27,3,0
fixed_m300_thfuzzy_objp99p5_densep99p95_m120p0_r1_mean,fuzzy,fixed,,,99.7,99.5,99.95,120.0,1.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300_thfuzzy_objp99p5_densep99p95_m120p0_r1_mean/segmentation/runs/mid_res/2026-06-30_15-04-41,0,1362.5974073279995,22.709956788799992,30,-300.0,,0.0,,0.6149991017105171,0.6311018385543796,0.9,0,27,3,0
fixed_m300_thfuzzy_objp99p5_densep99p95_m120p0_r2_mean,fuzzy,fixed,,,99.7,99.5,99.95,120.0,2.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300_thfuzzy_objp99p5_densep99p95_m120p0_r2_mean/segmentation/runs/mid_res/2026-06-30_15-27-24,0,1400.6411799149992,23.344019665249984,30,-300.0,,0.0,,0.6150053791016175,0.6316811275411375,0.9,0,27,3,0
fixed_m300_thfuzzy_objp99p5_densep99p95_m160p0_r1_mean,fuzzy,fixed,,,99.7,99.5,99.95,160.0,1.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300_thfuzzy_objp99p5_densep99p95_m160p0_r1_mean/segmentation/runs/mid_res/2026-06-30_15-50-45,0,1370.5040255309996,22.841733758849994,30,-300.0,,0.0,,0.6149946632147743,0.6311132428396251,0.9,0,27,3,0
fixed_m300_thfuzzy_objp99p5_densep99p95_m160p0_r2_mean,fuzzy,fixed,,,99.7,99.5,99.95,160.0,2.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300_thfuzzy_objp99p5_densep99p95_m160p0_r2_mean/segmentation/runs/mid_res/2026-06-30_16-13-35,0,1300.311638995001,21.671860649916685,30,-300.0,,0.0,,0.6149447000579646,0.6316714496333748,0.9,0,27,3,0
fixed_m300_thfuzzy_objp99p7_densep99p9_m120p0_r1_mean,fuzzy,fixed,,,99.7,99.7,99.9,120.0,1.0,mean,output/segmentation/analysis/lower_threshold_sweep/fuzzy_threshold_refined_p11/pipeline_runs/fixed_m300_thfuzzy_objp99p7_densep99p9_m120p0_r1_mean/segmentation/runs/mid_res/2026-06-30_16-35-15,0,1308.5947094560015,21.809911824266692,30,-300.0,,0.0,,0.6149351593243264,0.6311018385543796,0.9,0,27,3,0
