IMG_ID,fixed_control_dice,fixed_control_ostia_status,fixed_control_min_threshold_hu,fixed_control_threshold_voxel_count,fixed_control_lcc_voxel_count,original_dice,original_ostia_status,original_min_threshold_hu,original_threshold_voxel_count,original_lcc_voxel_count,variant_dice,variant_ostia_status,variant_min_threshold_hu,variant_threshold_voxel_count,variant_lcc_voxel_count,variant_lower_threshold_method,variant_lower_threshold_percentile,variant_lower_threshold_object_percentile,variant_lower_threshold_object_center_hu,variant,dice_delta,threshold_delta_hu,threshold_voxel_delta,lcc_voxel_delta,ostia_status_changed,dice_delta_vs_fixed_control,threshold_delta_hu_vs_fixed_control,threshold_voxel_delta_vs_fixed_control,lcc_voxel_delta_vs_fixed_control,ostia_status_changed_vs_fixed_control
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6714666666666667,both tolerable,-113.25,10295055,9951514,object_relative_percentile,10.0,99.5,496.0,object_relative_p10p0,0.000500773860705,186.75,-837457,-834118,False,0.0005007738607050172,186.75,-837457,-834118,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5562831389183457,both tolerable,-132.75,7234733,7109101,object_relative_percentile,10.0,99.5,482.75,object_relative_p10p0,0.0152365291226022,167.25,-546040,-534315,False,0.015236529122602205,167.25,-546040,-534315,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.6440084875107025,both tolerable,-118.0,9923049,9701698,object_relative_percentile,10.0,99.5,491.75,object_relative_p10p0,0.0127014691745088,182.0,-764935,-736751,False,0.012701469174508873,182.0,-764935,-736751,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6900036504063478,both tolerable,-109.75,10907586,10629580,object_relative_percentile,10.0,99.5,487.5,object_relative_p10p0,0.005077847862435,190.25,-923883,-904268,False,0.0050778478624350365,190.25,-923883,-904268,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.6463736225354081,both tolerable,-109.25,11628027,11436201,object_relative_percentile,10.0,99.5,481.0,object_relative_p10p0,-0.0001283002430498,190.75,-960111,-993263,False,-0.00012830024304988363,190.75,-960111,-993263,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6282642089093702,both tolerable,-127.0,11611056,11428261,object_relative_percentile,10.0,99.5,492.75,object_relative_p10p0,0.0048281081034343,173.0,-1006383,-1040544,False,0.00482810810343437,173.0,-1006383,-1040544,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6592346555695542,both tolerable,-99.75,8060123,7354502,object_relative_percentile,10.0,99.5,478.5,object_relative_p10p0,0.0736231606327476,200.25,-557557,-501614,False,0.07362316063274765,200.25,-557557,-501614,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5725365828435512,both tolerable,-116.25,11363265,11201560,object_relative_percentile,10.0,99.5,493.25,object_relative_p10p0,-0.0001067091992789,183.75,-975565,-936312,False,-0.00010670919927890932,183.75,-975565,-936312,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.7272950166520238,both tolerable,-100.75,11441814,10968616,object_relative_percentile,10.0,99.5,430.5,object_relative_p10p0,0.17113686409779,199.25,-1053850,-1103688,False,0.17113686409779005,199.25,-1053850,-1103688,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.6571761356283163,both tolerable,-118.5,11530846,11413339,object_relative_percentile,10.0,99.5,491.25,object_relative_p10p0,0.1756264646787707,181.5,-1067043,-1047025,False,0.17562646467877074,181.5,-1067043,-1047025,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4645496183206107,found but incorrect,-125.0,10795704,10650675,object_relative_percentile,10.0,99.5,491.75,object_relative_p10p0,-0.0027992646270553,175.0,-888871,-855398,False,-0.00279926462705532,175.0,-888871,-855398,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7472814917230298,both tolerable,-103.75,10045007,9583856,object_relative_percentile,10.0,99.5,493.25,object_relative_p10p0,0.0033935523606162,196.25,-824635,-740326,False,0.0033935523606162254,196.25,-824635,-740326,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.438021698337036,found but incorrect,-127.0,7912406,7704802,object_relative_percentile,10.0,99.5,486.25,object_relative_p10p0,-0.0001130525165012,173.0,-594692,-559224,False,-0.00011305251650128856,173.0,-594692,-559224,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.49830220713073,both tolerable,-116.0,12041070,11853513,object_relative_percentile,10.0,99.5,484.75,object_relative_p10p0,-0.0004965218470271,184.0,-1082734,-1107188,False,-0.0004965218470271426,184.0,-1082734,-1107188,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3954203040439477,both tolerable,-144.25,7300382,6691607,object_relative_percentile,10.0,99.5,453.0,object_relative_p10p0,0.2391313743338486,155.75,-513547,-930732,True,0.23913137433384868,155.75,-513547,-930732,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7176359775858491,both tolerable,-110.75,10867901,10691272,object_relative_percentile,10.0,99.5,492.75,object_relative_p10p0,0.0049912097673598,189.25,-957362,-942711,False,0.004991209767359894,189.25,-957362,-942711,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.6862756384427944,both tolerable,-110.75,10228109,9915156,object_relative_percentile,10.0,99.5,490.25,object_relative_p10p0,0.0191467288987282,189.25,-944110,-1025606,False,0.01914672889872826,189.25,-944110,-1025606,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7110947749377968,both tolerable,-108.0,8634825,8488193,object_relative_percentile,10.0,99.5,470.75,object_relative_p10p0,0.0026640618328547,192.0,-770848,-752882,False,0.002664061832854725,192.0,-770848,-752882,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5415227304131546,both tolerable,-116.25,11587083,11481305,object_relative_percentile,10.0,99.5,489.5,object_relative_p10p0,-0.0002652113747871,183.75,-1059353,-1047136,False,-0.0002652113747871887,183.75,-1059353,-1047136,False
631,0.7243157984482905,both tolerable,-300.0,11110441,10876543,0.5032588315823934,both tolerable,-300.0,11110441,10876543,0.7282077765584318,both tolerable,-117.5,10165800,9568942,object_relative_percentile,10.0,99.5,490.5,object_relative_p10p0,0.2249489449760384,182.5,-944641,-1307601,False,0.003891978110141303,182.5,-944641,-1307601,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6584093052499214,both tolerable,-115.75,9661265,9388368,object_relative_percentile,10.0,99.5,465.25,object_relative_p10p0,0.0386946367656568,184.25,-789181,-771468,False,0.038694636765656876,184.25,-789181,-771468,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6845203548627808,both tolerable,-120.75,10997083,10561114,object_relative_percentile,10.0,99.5,488.25,object_relative_p10p0,0.0054730872040262,179.25,-913613,-1079284,False,0.0054730872040262835,179.25,-913613,-1079284,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6797755888964018,both tolerable,-123.75,8051477,7966237,object_relative_percentile,10.0,99.5,490.5,object_relative_p10p0,0.0131089222297351,176.25,-693692,-683717,False,0.013108922229735143,176.25,-693692,-683717,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5507694813125967,both tolerable,-119.0,10330860,9967463,object_relative_percentile,10.0,99.5,493.75,object_relative_p10p0,-3.7117950987264337e-05,181.0,-829995,-842729,False,-3.7117950987264337e-05,181.0,-829995,-842729,False
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.465954398205831,both tolerable,-104.75,9212351,9013466,object_relative_percentile,10.0,99.5,496.75,object_relative_p10p0,0.0075222032481566,195.25,-775913,-775800,False,0.0075222032481566115,195.25,-775913,-775800,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7235115902205312,both tolerable,-112.0,10445840,9313077,object_relative_percentile,10.0,99.5,487.0,object_relative_p10p0,0.005079761977946,188.0,-872119,-1169367,False,0.005079761977946018,188.0,-872119,-1169367,False
