variant,original_ostia_status,variant_ostia_status,n
fixed_m300,both tolerable,both tolerable,27
fixed_m300,found but incorrect,found but incorrect,3
object_relative_p10p0,both tolerable,both tolerable,27
object_relative_p10p0,found but incorrect,found but incorrect,2
object_relative_p10p0,found but incorrect,both tolerable,1
object_relative_p20p0,both tolerable,both tolerable,27
object_relative_p20p0,found but incorrect,found but incorrect,2
object_relative_p20p0,found but incorrect,both tolerable,1
object_relative_p5p0,both tolerable,both tolerable,27
object_relative_p5p0,found but incorrect,found but incorrect,2
object_relative_p5p0,found but incorrect,both tolerable,1
percentile_p10p0,both tolerable,both tolerable,27
percentile_p10p0,found but incorrect,found but incorrect,2
percentile_p10p0,found but incorrect,both tolerable,1
percentile_p20p0,both tolerable,both tolerable,26
percentile_p20p0,found but incorrect,found but incorrect,2
percentile_p20p0,both tolerable,found but incorrect,1
percentile_p20p0,found but incorrect,both tolerable,1
percentile_p5p0,both tolerable,both tolerable,27
percentile_p5p0,found but incorrect,found but incorrect,2
percentile_p5p0,found but incorrect,both tolerable,1
