IMG_ID,original_dice,original_ostia_status,original_min_threshold_hu,original_threshold_voxel_count,original_lcc_voxel_count,variant_dice,variant_ostia_status,variant_min_threshold_hu,variant_threshold_voxel_count,variant_lcc_voxel_count,variant_lower_threshold_method,variant_lower_threshold_percentile,variant_lower_threshold_object_percentile,variant_lower_threshold_object_center_hu,variant,dice_delta,threshold_delta_hu,threshold_voxel_delta,lcc_voxel_delta,ostia_status_changed
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4645496183206107,found but incorrect,-124.75,10787213,10641291,percentile,10.0,,,percentile_p10p0,-0.00279926462705532,175.25,-897362,-864782,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.49830220713073,both tolerable,-115.75,12032306,11842835,percentile,10.0,,,percentile_p10p0,-0.0004965218470271426,184.25,-1091498,-1117866,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5415227304131546,both tolerable,-116.25,11587083,11481305,percentile,10.0,,,percentile_p10p0,-0.0002652113747871887,183.75,-1059353,-1047136,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.6463736225354081,both tolerable,-109.25,11628027,11436201,percentile,10.0,,,percentile_p10p0,-0.00012830024304988363,190.75,-960111,-993263,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.438021698337036,found but incorrect,-126.75,7909524,7701687,percentile,10.0,,,percentile_p10p0,-0.00011305251650128856,173.25,-597574,-562339,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5725365828435512,both tolerable,-116.25,11363265,11201560,percentile,10.0,,,percentile_p10p0,-0.00010670919927890932,183.75,-975565,-936312,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5507694813125967,both tolerable,-118.75,10325902,9962069,percentile,10.0,,,percentile_p10p0,-3.7117950987264337e-05,181.25,-834953,-848123,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6309376290788931,both tolerable,-110.5,7967027,7776808,percentile,10.0,,,percentile_p10p0,0.0005775967164335372,189.5,-598942,-548332,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.671575967672458,both tolerable,-113.0,10288414,9944328,percentile,10.0,,,percentile_p10p0,0.0006100748664963351,187.0,-844098,-841304,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7110947749377968,both tolerable,-108.0,8634825,8488193,percentile,10.0,,,percentile_p10p0,0.002664061832854725,192.0,-770848,-752882,False
