IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,min_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
28,0.6731322865834983,24792,region_growing,,,,,normal,-147.75,object_relative_percentile,5.0,99.5,496.0,10812877,10528186,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
380,0.5575329297757917,41504,region_growing,,,,,normal,-169.0,object_relative_percentile,5.0,99.5,482.75,7563325,7438744,yes,both tolerable,yes,no,,,no,yes,no,no,2.504064688825013,1.739843048383334,"(93, 121, 123)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
854,0.6435417281038042,29880,region_growing,,,,,normal,-159.25,object_relative_percentile,5.0,99.5,491.75,10398344,10200893,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(99, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
937,0.6915527381043306,28349,region_growing,,,,,normal,-140.5,object_relative_percentile,5.0,99.5,487.5,11457622,11214381,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
315,0.6456190509396464,28147,region_growing,,,,,normal,-135.5,object_relative_percentile,5.0,99.5,481.0,12197570,12047431,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8469358978335152,"(100, 179, 144)","(116, 147, 216)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
428,0.6272283178597918,34156,region_growing,,,,,normal,-164.0,object_relative_percentile,5.0,99.5,492.75,12202381,12082369,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
752,0.6592916473521342,45600,region_growing,,,,,normal,-169.25,object_relative_percentile,5.0,99.5,478.5,8413905,7664192,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(94, 176, 209)","(117, 132, 234)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
13,0.5721080932028126,25410,region_growing,,,,,normal,-142.25,object_relative_percentile,5.0,99.5,493.25,11951260,11804983,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
538,0.7090472782385383,22792,region_growing,,,,,normal,-125.25,object_relative_percentile,5.0,99.5,430.5,12072234,11702113,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
965,0.5216499345264077,18157,region_growing,,,,,normal,-140.5,object_relative_percentile,5.0,99.5,491.25,12156972,12056886,yes,both tolerable,yes,no,,,no,yes,no,no,1.2026683386588757,5.215854595380919,"(107, 153, 173)","(117, 128, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
447,0.4640840125774643,11850,region_growing,,,,,normal,-149.25,object_relative_percentile,5.0,99.5,491.75,11326494,11201647,yes,found but incorrect,yes,yes,,,no,no,no,no,0.6953125,7.205497169045659,"(119, 184, 169)","(136, 143, 178)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
836,0.7462414069340686,26489,region_growing,,,,,normal,-143.75,object_relative_percentile,5.0,99.5,493.25,10567221,10087585,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
603,0.4380989380989381,15371,region_growing,,,,,normal,-177.0,object_relative_percentile,5.0,99.5,486.25,8281713,8079452,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,27.84537235076125,"(81, 171, 169)","(103, 140, 129)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
676,0.4982058108577382,8638,region_growing,,,,,normal,-143.5,object_relative_percentile,5.0,99.5,484.75,12679486,12563142,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
44,0.3911700727770765,104917,region_growing,,,,,normal,-188.5,object_relative_percentile,5.0,99.5,453.0,7636935,7173771,yes,both tolerable,yes,no,,,no,yes,no,yes,0.58984375,0.0,"(97, 131, 150)","(110, 91, 177)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
129,0.7153680339821213,29755,region_growing,,,,,normal,-139.25,object_relative_percentile,5.0,99.5,492.75,11430059,11283722,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
518,0.6851195154210354,30162,region_growing,,,,,normal,-138.0,object_relative_percentile,5.0,99.5,490.25,10780281,10581262,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8532541254157887,"(108, 162, 163)","(126, 128, 193)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
793,0.7073040496866482,20661,region_growing,,,,,normal,-132.75,object_relative_percentile,5.0,99.5,470.75,9105561,8977643,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,2.7741306352170945,"(97, 148, 141)","(109, 116, 181)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
550,0.541323742997441,11474,region_growing,,,,,normal,-136.75,object_relative_percentile,5.0,99.5,489.5,12210883,12130281,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.6331862610496235,"(97, 158, 200)","(113, 127, 211)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
631,0.7276079406594349,24658,region_growing,,,,,normal,-150.0,object_relative_percentile,5.0,99.5,490.5,10719380,10502204,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.113000238656758,"(94, 132, 153)","(123, 95, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
330,0.6358848952217232,49343,region_growing,,,,,normal,-148.0,object_relative_percentile,5.0,99.5,465.25,10145423,9889996,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.974511812933532,"(105, 141, 195)","(119, 113, 222)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
90,0.6837656338338918,34211,region_growing,,,,,normal,-152.5,object_relative_percentile,5.0,99.5,488.25,11533611,11286794,yes,both tolerable,yes,no,,,no,yes,no,no,0.66015625,0.5,"(88, 157, 157)","(113, 120, 186)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
608,0.6784916758954993,32954,region_growing,,,,,normal,-146.0,object_relative_percentile,5.0,99.5,490.5,8449090,8368050,yes,both tolerable,yes,no,,,no,yes,no,no,1.3680800657879093,0.5,"(92, 126, 142)","(97, 80, 173)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
887,0.5514052953156823,16405,region_growing,,,,,normal,-173.25,object_relative_percentile,5.0,99.5,493.75,10873887,10547644,yes,both tolerable,yes,no,,,no,yes,no,yes,0.7890625,0.0,"(106, 164, 190)","(128, 128, 208)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
175,0.4603755031804075,41204,region_growing,,,,,normal,-144.75,object_relative_percentile,5.0,99.5,496.75,9685158,9533861,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(98, 197, 169)","(131, 162, 191)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
