IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,min_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
28,0.6219873450719245,18012,region_growing,,,,,normal,-74.0,percentile,20.0,,,9236766,8425170,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
380,0.5619667191672943,37537,region_growing,,,,,normal,-88.25,percentile,20.0,,,6569141,6275049,yes,both tolerable,yes,no,,,no,yes,no,no,1.8009125833344883,1.739843048383334,"(93, 121, 119)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
854,0.5615552587504505,22793,region_growing,,,,,normal,-82.25,percentile,20.0,,,8956013,7731572,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(100, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
937,0.5774909462345622,19053,region_growing,,,,,normal,-75.25,percentile,20.0,,,9800015,8703569,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
315,0.5762037560699729,22062,region_growing,,,,,normal,-68.5,percentile,20.0,,,10478390,10109254,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.3908992882585445,"(100, 179, 144)","(113, 144, 215)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
428,0.5689257722452743,27535,region_growing,,,,,normal,-85.0,percentile,20.0,,,10403041,8606841,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
752,0.4759877856944573,19816,region_growing,,,,,normal,-29.5,percentile,20.0,,,7342251,6476164,yes,found but incorrect,yes,yes,,,no,no,no,no,14.23387813433725,0.5,"(95, 153, 184)","(117, 132, 234)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
13,0.4106934001670844,15266,region_growing,,,,,normal,-84.75,percentile,20.0,,,10177542,9620221,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
538,0.6846603894323064,19042,region_growing,,,,,normal,-62.25,percentile,20.0,,,10172440,9163781,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
965,0.599368621980765,26821,region_growing,,,,,normal,-94.0,percentile,20.0,,,10277238,9827514,yes,both tolerable,yes,no,,,no,yes,no,no,1.546875,1.4820293967437017,"(109, 154, 182)","(106, 121, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
447,0.4645279560036663,11823,region_growing,,,,,normal,-98.5,percentile,20.0,,,9721683,9307500,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,7.205497169045659,"(119, 186, 173)","(136, 143, 178)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
836,0.6324287262512994,18025,region_growing,,,,,normal,-59.5,percentile,20.0,,,8984563,8227914,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
603,0.3343410326086956,27919,region_growing,,,,,normal,-65.25,percentile,20.0,,,7165483,6354967,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,14.979356929895326,"(82, 171, 170)","(128, 72, 144)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
676,0.4986880691464732,8637,region_growing,,,,,normal,-82.5,percentile,20.0,,,10735433,10203857,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
44,0.3964732259528755,101371,region_growing,,,,,normal,-113.5,percentile,20.0,,,6619015,5728160,yes,both tolerable,yes,no,,,no,yes,no,yes,0.58984375,0.0,"(97, 131, 150)","(110, 91, 177)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
129,0.694927829488736,25967,region_growing,,,,,normal,-69.0,percentile,20.0,,,9716996,8730591,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
518,0.5723734662576687,19721,region_growing,,,,,normal,-78.0,percentile,20.0,,,9104209,7895316,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.69140625,"(108, 162, 163)","(126, 127, 193)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
793,0.6670594782153262,15627,region_growing,,,,,normal,-81.5,percentile,20.0,,,7675854,7238450,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,2.7741306352170945,"(97, 148, 141)","(109, 116, 181)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
