variant,return_code,duration_seconds,run_dir,command
fixed_m300,0,1362.4606529449993,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/fixed_m300/segmentation/runs/mid_res/2026-06-29_11-26-59,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/fixed_m300.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/fixed_m300 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p5p0,0,1214.7689693440007,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p5p0/segmentation/runs/mid_res/2026-06-29_11-49-42,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p5p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p5p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p7p5,0,1156.9154832290005,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p7p5/segmentation/runs/mid_res/2026-06-29_12-09-56,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p7p5.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p7p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p0,0,1168.0543027050007,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-06-29_12-29-13,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p10p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p10p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p12p5,0,1143.571659027999,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p12p5/segmentation/runs/mid_res/2026-06-29_12-48-41,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p12p5.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p12p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p15p0,0,1115.028900246998,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p15p0/segmentation/runs/mid_res/2026-06-29_13-07-45,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p15p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p15p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
object_relative_p5p0,0,1212.6616829010018,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p5p0/segmentation/runs/mid_res/2026-06-29_13-26-20,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p5p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p5p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
object_relative_p7p5,0,1180.4931914890003,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p7p5/segmentation/runs/mid_res/2026-06-29_13-46-33,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p7p5.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p7p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
object_relative_p10p0,0,1168.0078787059974,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p10p0/segmentation/runs/mid_res/2026-06-29_14-06-13,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p10p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p10p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
object_relative_p12p5,0,1139.0168657590002,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p12p5/segmentation/runs/mid_res/2026-06-29_14-25-41,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p12p5.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p12p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
