variant,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,run_dir,return_code,duration_seconds,duration_minutes,n_images,mean_min_threshold_hu,std_min_threshold_hu,mean_object_center_hu,mean_dice,median_dice,ostia_success_rate,both_correct_n,both_tolerable_n,found_wrong_n,not_found_n
percentile_p10p0,percentile,10.0,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-06-29_12-29-13,0,1168.0543027050007,19.46757171175001,30,-115.88333333333334,10.1192743140839,,0.633823571577418,0.6588558228147109,0.9333333333333333,0,28,2,0
object_relative_p10p0,object_relative_percentile,10.0,99.5,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p10p0/segmentation/runs/mid_res/2026-06-29_14-06-13,0,1168.0078787059974,19.46679797843329,30,-116.075,10.122557176578626,484.7083333333333,0.6335973386028034,0.6588219804097377,0.9333333333333333,0,28,2,0
percentile_p15p0,percentile,15.0,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p15p0/segmentation/runs/mid_res/2026-06-29_13-07-45,0,1115.028900246998,18.583815004116634,30,-97.04166666666667,12.279096923811938,,0.6324361220247146,0.655256120805624,0.9333333333333333,0,28,2,0
object_relative_p15p0,object_relative_percentile,15.0,99.5,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p15p0/segmentation/runs/mid_res/2026-06-29_14-44-40,0,1172.0526411339997,19.534210685566663,30,-97.3,12.20786207948485,484.7083333333333,0.6324139233194664,0.6552406998186227,0.9333333333333333,0,28,2,0
object_relative_p12p5,object_relative_percentile,12.5,99.5,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p12p5/segmentation/runs/mid_res/2026-06-29_14-25-41,0,1139.0168657590002,18.98361442931667,30,-106.35,10.809199466354956,484.7083333333333,0.6311588239450042,0.6575751034364101,0.9333333333333333,0,28,2,0
percentile_p12p5,percentile,12.5,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p12p5/segmentation/runs/mid_res/2026-06-29_12-48-41,0,1143.571659027999,19.05952765046665,30,-106.08333333333333,10.797575824145017,,0.6303263024477915,0.656494988273884,0.9333333333333333,0,28,2,0
percentile_p5p0,percentile,5.0,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p5p0/segmentation/runs/mid_res/2026-06-29_11-49-42,0,1214.7689693440007,20.246149489066678,30,-149.88333333333333,14.543741000817175,,0.626956941828335,0.6524755864935686,0.9333333333333333,0,28,2,0
object_relative_p5p0,object_relative_percentile,5.0,99.5,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p5p0/segmentation/runs/mid_res/2026-06-29_13-26-20,0,1212.6616829010018,20.21102804835003,30,-150.25,14.62756019441996,484.7083333333333,0.6268607703993064,0.6524553491458903,0.9333333333333333,0,28,2,0
object_relative_p7p5,object_relative_percentile,7.5,99.5,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p7p5/segmentation/runs/mid_res/2026-06-29_13-46-33,0,1180.4931914890003,19.67488652481667,30,-128.175,10.549993871545858,484.7083333333333,0.6193062962268316,0.6451020285371519,0.9,0,27,3,0
percentile_p7p5,percentile,7.5,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p7p5/segmentation/runs/mid_res/2026-06-29_12-09-56,0,1156.9154832290005,19.281924720483342,30,-127.99166666666666,10.520194728541709,,0.6151156099945655,0.6538153701858977,0.9,0,27,3,0
fixed_m300,fixed,,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/fixed_m300/segmentation/runs/mid_res/2026-06-29_11-26-59,0,1362.4606529449993,22.70767754908332,30,-300.0,0.0,,0.5990213522765496,0.6268980665841977,0.9,0,27,3,0
