variant,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,config_file,command
fixed_m300,fixed,,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/fixed_m300.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/fixed_m300.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/fixed_m300 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p5p0,percentile,5.0,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p5p0.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p5p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p5p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p7p5,percentile,7.5,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p7p5.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p7p5.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p7p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p0,percentile,10.0,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p10p0.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p10p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p10p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p12p5,percentile,12.5,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p12p5.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p12p5.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p12p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p15p0,percentile,15.0,,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p15p0.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/percentile_p15p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/percentile_p15p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
object_relative_p5p0,object_relative_percentile,5.0,99.5,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p5p0.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p5p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p5p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
object_relative_p7p5,object_relative_percentile,7.5,99.5,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p7p5.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p7p5.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p7p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
object_relative_p10p0,object_relative_percentile,10.0,99.5,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p10p0.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p10p0.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p10p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
object_relative_p12p5,object_relative_percentile,12.5,99.5,output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p12p5.json,/home/matheus/workspace/coronary-centerline-detection/.venv/bin/python3 /home/matheus/workspace/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --threshold-method normal --artery-method rg --config-file /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/configs/object_relative_p12p5.json --output-dir /home/matheus/workspace/coronary-centerline-detection/output/segmentation/analysis/lower_threshold_sweep/lower_threshold_refined_p5_p15/pipeline_runs/object_relative_p12p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
