IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,min_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
28,0.664703373479294,25052,region_growing,,,,,normal,-638.25,object_relative_percentile,5.0,99.5,495.25,12250511,11758891,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
380,0.3078799249530957,103102,region_growing,,,,,normal,-583.5,object_relative_percentile,5.0,99.5,481.0,8154716,7932604,yes,both tolerable,yes,no,,,no,yes,no,no,2.295722101174337,1.739843048383334,"(94, 121, 120)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
854,0.6213854832108475,31821,region_growing,,,,,normal,-657.5,object_relative_percentile,5.0,99.5,490.25,11873260,11172584,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(99, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
937,0.682442114789954,29013,region_growing,,,,,normal,-644.25,object_relative_percentile,5.0,99.5,485.75,12886506,12232772,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
315,0.6382195562523432,29467,region_growing,,,,,normal,-624.25,object_relative_percentile,5.0,99.5,478.5,13477674,13132567,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8469358978335152,"(100, 179, 144)","(116, 146, 216)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
428,0.0,122,region_growing,,,,,normal,-560.25,object_relative_percentile,5.0,99.5,492.25,13167210,12894146,yes,found but incorrect,yes,yes,,,no,no,no,no,53.983226572896726,17.640429945915656,"(37, 178, 224)","(79, 132, 200)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
752,0.5565181087569148,61591,region_growing,,,,,normal,-597.0,object_relative_percentile,5.0,99.5,476.0,9167411,8688766,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(94, 176, 209)","(117, 132, 234)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
13,0.5707845535558274,24616,region_growing,,,,,normal,-611.0,object_relative_percentile,5.0,99.5,492.25,13337545,13137296,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.1031404921008474,"(112, 176, 170)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
538,0.4815676621603431,27287,region_growing,,,,,normal,-643.25,object_relative_percentile,5.0,99.5,426.0,13676018,12983084,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
965,0.4572628917723166,26131,region_growing,,,,,normal,-645.25,object_relative_percentile,5.0,99.5,490.25,13713449,13369750,yes,both tolerable,yes,no,,,no,yes,no,no,1.4820293967437017,5.215854595380919,"(107, 153, 174)","(117, 128, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
447,0.4674350699246964,11628,region_growing,,,,,normal,-658.25,object_relative_percentile,5.0,99.5,490.25,13094487,12730469,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,11.388690465010123,"(119, 186, 173)","(141, 140, 166)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
836,0.7339130434782609,27437,region_growing,,,,,normal,-634.0,object_relative_percentile,5.0,99.5,492.25,12098342,11777083,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
603,0.4332818247110802,14986,region_growing,,,,,normal,-641.75,object_relative_percentile,5.0,99.5,484.25,9246024,8717935,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,27.84537235076125,"(82, 171, 170)","(103, 140, 129)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
676,0.4982341754957892,8488,region_growing,,,,,normal,-576.75,object_relative_percentile,5.0,99.5,483.75,13818396,13537046,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
44,0.1335064138969269,177831,region_growing,,,,,normal,-651.25,object_relative_percentile,5.0,99.5,446.25,8708378,8249289,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,inf,"(60, 115, 41)",,,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
129,0.3279778472227165,107142,region_growing,,,,,normal,-580.25,object_relative_percentile,5.0,99.5,492.0,12419699,12091777,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
518,0.5659193996976088,31566,region_growing,,,,,normal,-595.0,object_relative_percentile,5.0,99.5,489.25,11819928,11414941,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8532541254157887,"(108, 162, 164)","(126, 128, 193)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
793,0.7144263054301262,19626,region_growing,,,,,normal,-615.0,object_relative_percentile,5.0,99.5,469.0,10199582,10009654,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,2.7741306352170945,"(97, 148, 141)","(109, 116, 181)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
550,0.5430034486362211,11263,region_growing,,,,,normal,-637.5,object_relative_percentile,5.0,99.5,488.5,13752675,13418095,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.6331862610496235,"(97, 158, 200)","(113, 127, 211)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,object_relative_percentile,yes,per_slice,rg,5,no,yes
