IMG_ID,cohort_kind,cohort_roles
2,control,stable_control
184,control,stable_control
284,control,stable_control
439,control,stable_control
523,control,stable_control
639,control,stable_control
730,control,stable_control
804,control,stable_control
891,control,stable_control
996,control,stable_control
11,failure,shared_ostia_failure
87,failure,fuzzy_threshold_regression
140,failure,fuzzy_threshold_regression
162,failure,shared_ostia_failure
263,failure,fc_undersegments_fuzzy;fc_undersegments_normal
294,failure,fuzzy_threshold_regression
340,failure,fc_prevents_rg_leakage_normal;threshold_changes_segmentation_with_same_ostia
347,failure,shared_ostia_failure
391,failure,fc_undersegments_fuzzy;fc_undersegments_normal
396,failure,shared_low_dice_with_good_ostia
401,failure,fuzzy_threshold_rescue
409,failure,fc_undersegments_fuzzy;fc_undersegments_normal
460,failure,shared_low_dice_with_good_ostia
464,failure,fuzzy_threshold_rescue
470,failure,shared_low_dice_with_good_ostia
483,failure,threshold_changes_segmentation_with_same_ostia
493,failure,shared_low_dice_with_good_ostia
508,failure,fuzzy_threshold_rescue
556,failure,fc_undersegments_normal
558,failure,threshold_changes_segmentation_with_same_ostia
567,failure,fuzzy_threshold_regression
606,failure,shared_ostia_failure
646,failure,fuzzy_threshold_regression
680,failure,threshold_changes_segmentation_with_same_ostia
750,failure,shared_low_dice_with_good_ostia
753,failure,fuzzy_threshold_rescue
776,failure,threshold_changes_segmentation_with_same_ostia
791,failure,fuzzy_threshold_rescue
792,failure,shared_ostia_failure
813,failure,fc_prevents_rg_leakage_normal;threshold_changes_segmentation_with_same_ostia
821,failure,shared_low_dice_with_good_ostia
847,failure,fc_undersegments_fuzzy;fc_undersegments_normal
857,failure,fuzzy_threshold_regression
867,failure,fc_undersegments_fuzzy;fuzzy_threshold_rescue
873,failure,fc_undersegments_fuzzy;fc_undersegments_normal
982,failure,shared_ostia_failure
