variant,return_code,duration_seconds,run_dir,command
percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5,0,2235.4496664899634,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_08-42-03,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5,0,2146.7528768889606,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_09-19-24,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5,0,2253.4638004050357,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_09-55-05,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5,0,2209.2862168679712,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_10-32-38,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5,0,2250.7167324170005,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_11-09-28,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5,0,2141.3593525580363,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_11-46-58,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5,0,2083.1982251780573,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_12-22-40,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5,0,2141.333371690009,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_12-57-23,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5,0,2209.688593162922,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_13-33-04,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5,0,2147.6913407150423,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5/segmentation/runs/mid_res/2026-07-03_14-09-54,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
