variant,threshold_method,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,max_threshold_percentile,fuzzy_config,config_file,command
percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.25,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.94, 'soft_margin_hu': 100.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.5,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.94, 'soft_margin_hu': 100.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.25,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.94, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.5,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.94, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p94_m120p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.25,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.96, 'soft_margin_hu': 100.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.5,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.96, 'soft_margin_hu': 100.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.25,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.96, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.5,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.96, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.25,,99.7,"{'object_percentile': 99.85, 'dense_percentile': 99.94, 'soft_margin_hu': 100.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p25_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p25_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5,fuzzy,percentile,10.5,,99.7,"{'object_percentile': 99.85, 'dense_percentile': 99.94, 'soft_margin_hu': 100.0, 'smooth_radius': 0, 'smooth_mode': 'mean', 'mask_strategy': 'object_argmax', 'dense_membership_threshold': 0.5}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/configs/percentile_p10p5_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_object_argmax_refined/pipeline_runs/percentile_p10p5_thfuzzy_objp99p85_densep99p94_m100p0_r0_mean_object_argmax_dt0p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
