lower_threshold_percentile,IMG_ID,normal_dice,normal_ostia_status,normal_left_dist_mm,normal_right_dist_mm,normal_artery_voxels,fuzzy_dice,fuzzy_ostia_status,fuzzy_left_dist_mm,fuzzy_right_dist_mm,fuzzy_artery_voxels,fuzzy_minus_normal_dice,fuzzy_minus_normal_voxels
10.0,28,0.671575967672458,both tolerable,1.0737001589130926,0.8375058302035873,24566,0.6734166752763715,both tolerable,1.0737001589130926,0.8375058302035873,24210,0.0018407076039135273,-356
10.0,380,0.5563347606485225,both tolerable,2.504064688825013,1.739843048383334,39955,0.5775170795666276,both tolerable,2.3495403733114086,1.739843048383334,36977,0.02118231891810507,-2978
10.0,854,0.643942214610172,both tolerable,1.2734375,0.63671875,29340,0.6450355938553766,both tolerable,1.2734375,0.63671875,29004,0.0010933792452045843,-336
10.0,937,0.6899479436792869,both tolerable,1.390625,2.160392872438078,28036,0.6906386094731568,both tolerable,1.390625,2.160392872438078,27871,0.0006906657938698935,-165
10.0,315,0.6463736225354081,both tolerable,0.0,1.2113217636280884,28046,0.6462420872241458,both tolerable,0.0,1.0,27971,-0.00013153531126230966,-75
10.0,428,0.6282642089093702,both tolerable,0.0,1.2202077119702048,34078,0.6316149548339689,both tolerable,0.0,1.2202077119702048,34889,0.0033507459245987192,811
10.0,752,0.6593023403795004,both tolerable,0.0,0.5,44358,0.4809481116216519,found but incorrect,14.23387813433725,0.5,37165,-0.1783542287578485,-7193
10.0,13,0.5725365828435512,both tolerable,2.0859375,1.1031404921008474,25405,0.5744673357985561,both tolerable,2.0859375,1.1031404921008474,24176,0.0019307529550048885,-1229
10.0,538,0.7272950166520238,both tolerable,0.0,0.8095744354916121,24229,0.6131276022532451,both tolerable,0.0,0.8095744354916121,16116,-0.11416741439877864,-8113
10.0,965,0.6571761356283163,both tolerable,1.546875,1.4820293967437017,34153,0.6608766365780272,both tolerable,1.546875,1.4820293967437017,33822,0.003700500949710861,-331
10.0,447,0.4645496183206107,found but incorrect,0.6953125,7.205497169045659,11843,0.4661303199656083,found but incorrect,0.6953125,7.205497169045659,11659,0.001580701644997573,-184
10.0,836,0.7472814917230298,both tolerable,0.9004562916672442,0.5,26334,0.7474471666354965,both tolerable,0.9004562916672442,0.5,26282,0.00016567491246666233,-52
10.0,603,0.438021698337036,found but incorrect,0.0,27.84537235076125,15402,0.4434776788702229,found but incorrect,0.0,7.171684578422479,13862,0.005455980533186855,-1540
10.0,676,0.49830220713073,both tolerable,1.1576348337032387,0.8916609243998318,8637,0.4981522542498152,both tolerable,1.1576348337032387,0.8916609243998318,8428,-0.0001499528809147943,-209
10.0,44,0.3954095507451322,both tolerable,0.58984375,0.0,103057,0.6302489780750651,both tolerable,0.58984375,0.0,47463,0.2348394273299329,-55594
10.0,129,0.7176359775858491,both tolerable,2.23828125,0.5,29302,0.7043170699457887,both tolerable,2.23828125,0.5,27167,-0.013318907640060385,-2135
10.0,518,0.6863414821353188,both tolerable,0.0,0.69140625,30107,0.7156036903329323,both tolerable,0.69140625,0.5,27853,0.029262208197613493,-2254
10.0,793,0.7110947749377968,both tolerable,0.8437861682062879,2.7741306352170945,20446,0.7379655434507221,both tolerable,0.8437861682062879,2.7741306352170945,16654,0.026870768512925247,-3792
10.0,550,0.5415227304131546,both tolerable,0.0,1.6331862610496235,11504,0.5436054611312343,both tolerable,0.0,1.6331862610496235,11268,0.0020827307180797394,-236
10.0,631,0.7282978265547665,both tolerable,0.0,1.4102374024432909,24482,0.7283016384812792,both tolerable,0.0,1.113000238656758,23603,3.8119265126645985e-06,-879
