variant,return_code,duration_seconds,run_dir,command
percentile_p10p0,0,2114.372152569995,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-07-01_20-10-31,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p0.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5,0,2042.6381272089784,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5/segmentation/runs/mid_res/2026-07-01_20-45-41,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p5.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5 --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,0,2270.451231997984,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-01_21-19-43,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,0,2049.800071656995,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-01_21-57-46,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean,0,2410.842491455027,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-01_22-31-43,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean,0,2171.5961783000384,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-01_23-12-08,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean,0,2212.2534977389732,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-01_23-48-06,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean,0,2219.8181390630198,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-02_00-24-58,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean,0,2254.42065410997,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-02_01-01-58,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean,0,2149.8581962379976,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-02_01-39-32,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
