variant,threshold_method,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,max_threshold_percentile,fuzzy_object_percentile,fuzzy_dense_percentile,fuzzy_soft_margin_hu,fuzzy_smooth_radius,fuzzy_smooth_mode,run_dir,return_code,duration_seconds,duration_minutes,n_images,mean_min_threshold_hu,mean_max_threshold_hu,std_min_threshold_hu,mean_object_center_hu,mean_dice,median_dice,ostia_success_rate,both_correct_n,both_tolerable_n,found_wrong_n,not_found_n
percentile_p10p5,normal,percentile,10.5,,99.7,,,,,,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5/segmentation/runs/mid_res/2026-07-01_20-45-41,0,2042.6381272089784,34.04396878681631,30,-113.81666666666666,761.1416666666667,10.168819255816834,,0.6349333818056558,0.6591614909583847,0.9333333333333333,0,28,2,0
percentile_p10p0,normal,percentile,10.0,,99.7,,,,,,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0/segmentation/runs/mid_res/2026-07-01_20-10-31,0,2114.372152569995,35.23953587616658,30,-115.88333333333334,761.1416666666667,10.1192743140839,,0.633823571577418,0.6588558228147109,0.9333333333333333,0,28,2,0
percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,fuzzy,percentile,10.5,,99.7,99.8,99.97,120.0,0.0,mean,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-01_21-57-46,0,2049.800071656995,34.163334527616584,30,-113.81666666666666,,10.168819255816834,,0.6417733910175524,0.6670311278534151,0.9,0,27,3,0
percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean,fuzzy,percentile,10.0,,99.7,99.8,99.99,120.0,0.0,mean,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-01_23-48-06,0,2212.2534977389732,36.87089162898289,30,-115.88333333333334,,10.1192743140839,,0.6417554166534511,0.6671466559271994,0.9,0,27,3,0
percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean,fuzzy,percentile,10.5,,99.7,99.8,99.99,120.0,0.0,mean,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-02_00-24-58,0,2219.8181390630198,36.99696898438366,30,-113.81666666666666,,10.168819255816834,,0.6417028225689647,0.6671885709017152,0.9,0,27,3,0
percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,fuzzy,percentile,10.0,,99.7,99.8,99.97,120.0,0.0,mean,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean/segmentation/runs/mid_res/2026-07-01_21-19-43,0,2270.451231997984,37.84085386663307,30,-115.88333333333334,,10.1192743140839,,0.6415492955028143,0.6669963700925468,0.9,0,27,3,0
percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean,fuzzy,percentile,10.5,,99.7,99.8,99.97,120.0,1.0,mean,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-01_23-12-08,0,2171.5961783000384,36.19326963833397,30,-113.81666666666666,,10.168819255816834,,0.6386933420745352,0.6536199490857123,0.9,0,27,3,0
percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean,fuzzy,percentile,10.0,,99.7,99.8,99.97,120.0,1.0,mean,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-01_22-31-43,0,2410.842491455027,40.180708190917116,30,-115.88333333333334,,10.1192743140839,,0.6386848401244618,0.6535461665672866,0.9,0,27,3,0
percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean,fuzzy,percentile,10.0,,99.7,99.8,99.99,120.0,1.0,mean,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-02_01-01-58,0,2254.42065410997,37.573677568499505,30,-115.88333333333334,,10.1192743140839,,0.6383080745570481,0.658754148705194,0.9,0,27,3,0
percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean,fuzzy,percentile,10.5,,99.7,99.8,99.99,120.0,1.0,mean,output/segmentation/analysis/threshold_sweep/fuzzy_threshold_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p99_m120p0_r1_mean/segmentation/runs/mid_res/2026-07-02_01-39-32,0,2149.8581962379976,35.83096993729996,30,-113.81666666666666,,10.168819255816834,,0.6382212224742859,0.6587443163724468,0.9,0,27,3,0
