variant,threshold_method,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,max_threshold_percentile,fuzzy_config,config_file,command
percentile_p10p0_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean,fuzzy,percentile,10.0,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.96, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean,fuzzy,percentile,10.25,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.96, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean,fuzzy,percentile,10.5,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.96, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p96_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,fuzzy,percentile,10.0,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.97, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,fuzzy,percentile,10.25,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.97, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean,fuzzy,percentile,10.5,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.97, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p97_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p0_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean,fuzzy,percentile,10.0,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.98, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p25_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean,fuzzy,percentile,10.25,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.98, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p25_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p25_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p5_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean,fuzzy,percentile,10.5,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.98, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p5_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p5_thfuzzy_objp99p8_densep99p98_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean,fuzzy,percentile,10.0,,99.7,"{'object_percentile': 99.8, 'dense_percentile': 99.99, 'soft_margin_hu': 120.0, 'smooth_radius': 0, 'smooth_mode': 'mean'}",output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean.json,/data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/miniconda3/envs/dac_gpu/bin/python /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/src/segmentation_pipeline.py --split train --resolution mid --num-batches 5 --artery-method rg --config-file /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/configs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean.json --output-dir /data04/home/projetos/dac_seg_dlag/mssilva.ppgmc/matheus_codes/coronary-centerline-detection/output/segmentation/analysis/threshold_sweep/fuzzy_threshold_refined_permissive_p10/pipeline_runs/percentile_p10p0_thfuzzy_objp99p8_densep99p99_m120p0_r0_mean --no-save-cache --gpu --downscale-method opencv --opencv-interpolation linear
