IMG_ID,base_dice,base_status,base_min_hu,base_thresh_vox,base_lcc_vox,artery_dice,ostia_detection_status,min_threshold_hu,threshold_voxel_count,lcc_voxel_count,variant,delta,lcc_delta,threshold_delta,status_changed
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.671575967672458,both tolerable,-113.0,10288414,9944328,percentile_p10p0,0.0006100748664963351,-841304,-844098,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5563347606485225,both tolerable,-132.5,7231317,7105546,percentile_p10p0,0.015288150852779014,-537870,-549456,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.643942214610172,both tolerable,-117.75,9917636,9696045,percentile_p10p0,0.012635196273978355,-742404,-770348,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6899479436792869,both tolerable,-109.5,10900513,10621048,percentile_p10p0,0.005022141135374136,-912800,-930956,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.6463736225354081,both tolerable,-109.25,11628027,11436201,percentile_p10p0,-0.00012830024304988363,-993263,-960111,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6282642089093702,both tolerable,-126.75,11605030,11421499,percentile_p10p0,0.00482810810343437,-1047306,-1012409,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6593023403795004,both tolerable,-99.25,8055658,7350589,percentile_p10p0,0.07369084544269389,-505527,-562022,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5725365828435512,both tolerable,-116.25,11363265,11201560,percentile_p10p0,-0.00010670919927890932,-936312,-975565,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.7272950166520238,both tolerable,-100.75,11441814,10968616,percentile_p10p0,0.17113686409779005,-1103688,-1053850,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.6571761356283163,both tolerable,-118.5,11530846,11413339,percentile_p10p0,0.17562646467877074,-1047025,-1067043,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4645496183206107,found but incorrect,-124.75,10787213,10641291,percentile_p10p0,-0.00279926462705532,-864782,-897362,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7472814917230298,both tolerable,-103.5,10038938,9577690,percentile_p10p0,0.0033935523606162254,-746492,-830704,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.438021698337036,found but incorrect,-126.75,7909524,7701687,percentile_p10p0,-0.00011305251650128856,-562339,-597574,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.49830220713073,both tolerable,-115.75,12032306,11842835,percentile_p10p0,-0.0004965218470271426,-1117866,-1091498,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3954095507451322,both tolerable,-144.0,7296258,6677734,percentile_p10p0,0.23912062103503318,-944605,-517671,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7176359775858491,both tolerable,-110.5,10860933,10683341,percentile_p10p0,0.004991209767359894,-950642,-964330,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.6863414821353188,both tolerable,-110.5,10220365,9903989,percentile_p10p0,0.01921257259125264,-1036773,-951854,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7110947749377968,both tolerable,-108.0,8634825,8488193,percentile_p10p0,0.002664061832854725,-752882,-770848,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5415227304131546,both tolerable,-116.25,11587083,11481305,percentile_p10p0,-0.0002652113747871887,-1047136,-1059353,False
631,0.7243157984482905,both tolerable,-300.0,11110441,10876543,0.7282978265547665,both tolerable,-117.25,10159193,9552106,percentile_p10p0,0.0039820281064759655,-1324437,-951248,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6584093052499214,both tolerable,-115.75,9661265,9388368,percentile_p10p0,0.038694636765656876,-771468,-789181,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6845203548627808,both tolerable,-120.5,10990670,10553435,percentile_p10p0,0.0054730872040262835,-1086963,-920026,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6798501325047975,both tolerable,-123.5,8044725,7959226,percentile_p10p0,0.013183465838130903,-690728,-700444,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5507694813125967,both tolerable,-118.75,10325902,9962069,percentile_p10p0,-3.7117950987264337e-05,-848123,-834953,False
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4723494299339923,both tolerable,-104.5,9207999,9007842,percentile_p10p0,0.013917234976317916,-781424,-780265,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.723516396792514,both tolerable,-111.75,10438679,9306971,percentile_p10p0,0.005084568549928781,-1175473,-879280,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6309376290788931,both tolerable,-110.5,7967027,7776808,percentile_p10p0,0.0005775967164335372,-548332,-598942,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.7987279969163562,both tolerable,-100.0,11677555,11304548,percentile_p10p0,0.009250169987527257,-1092576,-1005919,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6912416644935365,both tolerable,-122.75,10296644,9950660,percentile_p10p0,0.003564126828583758,-1076056,-963465,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7431786047351163,both tolerable,-127.75,11362621,9971319,percentile_p10p0,0.005009011907324057,-936907,-958660,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6719346496449242,both tolerable,-109.0,10180788,9789295,percentile_p11p0,0.0009687568389625811,-996337,-951724,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.556591883035039,both tolerable,-127.75,7164956,7034026,percentile_p11p0,0.015545273239295554,-609390,-615817,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.6434382934559001,both tolerable,-113.5,9820098,9546576,percentile_p11p0,0.012131275119706464,-891873,-867886,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6903114186851211,both tolerable,-105.75,10791962,10492817,percentile_p11p0,0.00538561614120836,-1041031,-1039507,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.646448412005171,both tolerable,-105.5,11511456,11298844,percentile_p11p0,-5.351077328696885e-05,-1130620,-1076682,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6285714285714286,both tolerable,-121.75,11481403,11212814,percentile_p11p0,0.005135327765492748,-1255991,-1136036,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6598411342453877,both tolerable,-91.5,7983407,7281835,percentile_p11p0,0.07422963930858117,-574281,-634273,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5727040816326531,both tolerable,-112.75,11239694,11060089,percentile_p11p0,6.0789589822918266e-05,-1077783,-1099136,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.7438996195800668,both tolerable,-97.25,11307551,10786657,percentile_p11p0,0.18774146702583305,-1285647,-1188113,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.6571113918310498,both tolerable,-115.75,11408846,11275212,percentile_p11p0,0.17556172088150424,-1185152,-1189043,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4645779894955417,found but incorrect,-121.75,10681071,10517926,percentile_p11p0,-0.0027708934521243345,-988147,-1003504,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7472946453602467,both tolerable,-99.5,9937764,9470039,percentile_p11p0,0.003406705997833104,-854143,-931878,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4379543150492871,found but incorrect,-120.25,7834100,7615445,percentile_p11p0,-0.00018043580425020078,-648581,-672998,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4984565519370273,both tolerable,-112.0,11896972,11676936,percentile_p11p0,-0.0003421770407298075,-1283765,-1226832,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3953923255292094,both tolerable,-140.25,7230884,6589427,percentile_p11p0,0.2391033958191104,-1032912,-583045,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7209429296335549,both tolerable,-106.5,10747976,10552228,percentile_p11p0,0.008298161815065708,-1081755,-1077287,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.6866107260124042,both tolerable,-107.0,10108341,9715013,percentile_p11p0,0.01948181646833813,-1225749,-1063878,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7224835935393006,both tolerable,-105.0,8534741,8378328,percentile_p11p0,0.014052880434358483,-862747,-870932,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5414666160063556,both tolerable,-113.75,11457899,11338787,percentile_p11p0,-0.0003213257815861681,-1189654,-1188537,False
631,0.7243157984482905,both tolerable,-300.0,11110441,10876543,0.7284982126706576,both tolerable,-113.25,10049146,9358079,percentile_p11p0,0.004182414222367092,-1518464,-1061295,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6575439484001517,both tolerable,-112.25,9562644,9260715,percentile_p11p0,0.03782927991588725,-899121,-887802,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6846841865158909,both tolerable,-116.5,10883801,10378587,percentile_p11p0,0.005636918857136353,-1261811,-1026895,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6757838314119979,both tolerable,-120.75,7968362,7878738,percentile_p11p0,0.009117164745331308,-771216,-776807,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5507848286813657,both tolerable,-113.5,10215521,9815699,percentile_p11p0,-2.1770582218305634e-05,-994493,-945334,False
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.46822023547804,both tolerable,-99.0,9109889,8884074,percentile_p11p0,0.009788040520365582,-905192,-878375,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7235686390615969,both tolerable,-108.5,10341415,9210899,percentile_p11p0,0.005136810819011628,-1271545,-976544,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6310679611650486,both tolerable,-106.25,7892596,7697507,percentile_p11p0,0.0007079288025890751,-627633,-673373,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.7988878889174595,both tolerable,-95.25,11554914,11140147,percentile_p11p0,0.009410061988630591,-1256977,-1128560,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6913603249427065,both tolerable,-119.25,10189368,9616265,percentile_p11p0,0.0036827872777537296,-1410451,-1070741,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7434909550612527,both tolerable,-123.25,11246169,9853111,percentile_p11p0,0.005321362233460469,-1055115,-1075112,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6725197902744937,both tolerable,-98.0,9864211,9328764,percentile_p14p0,0.0015538974685320728,-1456868,-1268301,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5660188933873145,both tolerable,-114.75,6967357,6815176,percentile_p14p0,0.024972283591571,-828240,-813416,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.5800847980899848,both tolerable,-102.75,9537130,8886202,percentile_p14p0,-0.051222220246208816,-1552247,-1150854,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6639811197916666,both tolerable,-95.5,10464687,10049571,percentile_p14p0,-0.020944682752246147,-1484277,-1366782,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.6454879485241117,both tolerable,-94.75,11169490,10863443,percentile_p14p0,-0.0010139742543462393,-1566021,-1418648,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.631123473960748,both tolerable,-108.75,11120755,10461540,percentile_p14p0,0.0076873731548121604,-2007265,-1496684,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6630387237874694,both tolerable,-70.0,7770055,7024193,percentile_p14p0,0.07742722885066289,-831923,-847625,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5731789393756364,both tolerable,-103.5,10885254,10644100,percentile_p14p0,0.0005356473328061995,-1493772,-1453576,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.7444853327725791,both tolerable,-87.75,10935935,10166753,percentile_p14p0,0.18832718021834538,-1905551,-1559729,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.6579563182527302,both tolerable,-108.0,11025300,10817298,percentile_p14p0,0.17640664730318456,-1643066,-1572589,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4645094264674428,found but incorrect,-113.75,10366271,10120392,percentile_p14p0,-0.0028394564802232125,-1385681,-1318304,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7474683188888681,both tolerable,-87.5,9618739,9108217,percentile_p14p0,0.0035803795264545135,-1215965,-1250903,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4363347707622664,found but incorrect,-102.25,7610922,7336093,percentile_p14p0,-0.001799980091270914,-927933,-896176,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.498649587159503,both tolerable,-102.25,11511830,11153806,percentile_p14p0,-0.0001491418182540949,-1806895,-1611974,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3948130927139224,both tolerable,-130.25,7024915,6291192,percentile_p14p0,0.2385241630038234,-1331147,-789014,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7045199604091059,both tolerable,-94.75,10400590,10128378,percentile_p14p0,-0.008124807409383261,-1505605,-1424673,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.712090102661218,both tolerable,-97.5,9775999,9066313,percentile_p14p0,0.044961193117151854,-1874449,-1396220,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7188901761577994,both tolerable,-97.25,8248149,8046709,percentile_p14p0,0.010459463052857276,-1194366,-1157524,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5413357276054976,both tolerable,-107.25,11073416,10897193,percentile_p14p0,-0.0004522141824441217,-1631248,-1573020,False
631,0.7243157984482905,both tolerable,-300.0,11110441,10876543,0.7295716905815083,both tolerable,-102.0,9713374,8709837,percentile_p14p0,0.005255892133217754,-2166706,-1397067,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6581237788322465,both tolerable,-103.0,9274124,8848946,percentile_p14p0,0.038409110347982,-1310890,-1176322,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6737467902199397,both tolerable,-105.5,10557843,9448113,percentile_p14p0,-0.005300477438814899,-2192285,-1352853,False
608,0.6666666666666666,both tolerable,-300.0,8745169,8649954,0.6771146019410323,both tolerable,-113.0,7724117,7608485,percentile_p14p0,0.010447935274365716,-1041469,-1021052,False
887,0.550806599263584,both tolerable,-300.0,11160855,10810192,0.5521424778399575,both tolerable,-99.5,9891913,9268469,percentile_p14p0,0.001335878576373517,-1541723,-1268942,False
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4657396664877314,both tolerable,-83.25,8822591,8429410,percentile_p14p0,0.007307471530057008,-1359856,-1165673,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7242139787378421,both tolerable,-99.0,10028366,8872843,percentile_p14p0,0.005782150495256877,-1609601,-1289593,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6316551973922492,both tolerable,-94.25,7663279,7442579,percentile_p14p0,0.0012951650297896578,-882561,-902690,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.7995683754489379,both tolerable,-82.25,11186901,10472790,percentile_p14p0,0.010090548520108933,-1924334,-1496573,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6914169572432826,both tolerable,-109.75,9860713,8986179,percentile_p14p0,0.0037394195783297945,-2040537,-1399396,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7439182467669491,both tolerable,-111.25,10888131,9412954,percentile_p14p0,0.0057486539391568,-1495272,-1433150,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6727355109774684,both tolerable,-94.5,9762528,9182284,percentile_p15p0,0.0017696181715067816,-1603348,-1369984,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5663623595505618,both tolerable,-110.5,6900814,6741065,percentile_p15p0,0.025315749754818317,-902351,-879959,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.5800057691515227,both tolerable,-99.25,9437677,8632774,percentile_p15p0,-0.05130124918467094,-1805675,-1250307,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.650061131027623,both tolerable,-92.0,10347335,9807899,percentile_p15p0,-0.0348646715162898,-1725949,-1484134,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.6453451551614946,both tolerable,-91.0,11054430,10720504,percentile_p15p0,-0.0011567676169633723,-1708960,-1533708,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6300762157770528,both tolerable,-104.75,11002512,10131469,percentile_p15p0,0.006640114971116939,-2337336,-1614927,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6627884478955719,both tolerable,-63.0,7699114,6931203,percentile_p15p0,0.07717695295876537,-924913,-918566,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5732930513595166,both tolerable,-100.5,10766820,10499678,percentile_p15p0,0.0006497593166864268,-1638194,-1572010,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.739930319510537,both tolerable,-84.25,10806311,9933476,percentile_p15p0,0.18377216695630327,-2138828,-1689353,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.6545057024914748,both tolerable,-105.75,10906141,10665072,percentile_p15p0,0.17295603154192918,-1795292,-1691748,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4645378151260504,found but incorrect,-111.25,10261091,9980836,percentile_p15p0,-0.0028110678216156093,-1525237,-1423484,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7383057020372549,both tolerable,-83.5,9513779,8976456,percentile_p15p0,-0.005582237325158723,-1347726,-1355863,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4380594922237322,found but incorrect,-96.25,7535459,7220952,percentile_p15p0,-7.525862980511944e-05,-1043074,-971639,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4986497955404675,both tolerable,-99.0,11378485,10980889,percentile_p15p0,-0.00014893343728961117,-1979812,-1745319,False
44,0.156288929710099,found but incorrect,-300.0,7813929,7622339,0.3947379189001186,both tolerable,-127.5,6961071,6214561,percentile_p15p0,0.2384489891900196,-1407778,-852858,True
129,0.7126447678184892,both tolerable,-300.0,11825263,11633983,0.7048062476265954,both tolerable,-91.0,10290369,10000764,percentile_p15p0,-0.007838520191893794,-1633219,-1534894,False
518,0.6671289095440661,both tolerable,-300.0,11172219,10940762,0.7123140133232279,both tolerable,-94.25,9658875,8849158,percentile_p15p0,0.04518510377916174,-2091604,-1513344,False
793,0.7084307131049421,both tolerable,-300.0,9405673,9241075,0.7193534969398063,both tolerable,-94.75,8152365,7932432,percentile_p15p0,0.010922783834864225,-1308643,-1253308,False
550,0.5417879417879418,both tolerable,-300.0,12646436,12528441,0.5414666160063556,both tolerable,-105.5,10960391,10765499,percentile_p15p0,-0.0003213257815861681,-1762942,-1686045,False
631,0.7243157984482905,both tolerable,-300.0,11110441,10876543,0.7293812763200518,both tolerable,-98.5,9606262,8534408,percentile_p15p0,0.005065477871761259,-2342135,-1504179,False
330,0.6197146684842645,both tolerable,-300.0,10450446,10159836,0.6560065391197731,both tolerable,-100.0,9177325,8682963,percentile_p15p0,0.03629187063550865,-1476873,-1273121,False
90,0.6790472676587546,both tolerable,-300.0,11910696,11640398,0.6777981345769487,both tolerable,-102.0,10447300,9190208,percentile_p15p0,-0.0012491330818058533,-2450190,-1463396,False
