variant,IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,upper_threshold_selection_method,upper_threshold_dense_mean_hu,upper_threshold_selected_percentile,upper_threshold_centroid_distance_hu,upper_threshold_interpolation_segment,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_circle_filter_method,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_synthetic_tail_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_detected_tail_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_circle_filter_candidate_mask_voxel_count,aorta_circle_filter_mask_guided_fallback_enabled,aorta_circle_filter_mask_guided_fallback_attempted,aorta_circle_filter_mask_guided_fallback_accepted,aorta_circle_filter_mask_guided_fallback_rejection_reason,aorta_circle_filter_mask_guided_trim_start_slice,aorta_circle_filter_mask_guided_trimmed_tail_count,aorta_circle_filter_mask_guided_candidate_area_ratio_p90,aorta_circle_filter_mask_guided_retry_area_ratio_p90,aorta_circle_filter_mask_guided_candidate_fill_q25,aorta_circle_filter_mask_guided_retry_fill_q25,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_initial_voxel_count,aorta_level_set_raw_voxel_count,aorta_level_set_initial_volume_fraction,aorta_level_set_raw_volume_fraction,aorta_level_set_iterations_used,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_slice_area_jump_p95,aorta_segmentation_feedback,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,configured_aorta_hough_radii_start_px,configured_aorta_hough_radii_end_px,aorta_interpolate_missed_circles,aorta_trajectory_radius_factor,aorta_trajectory_axial_margin_slices,aorta_opening_radius
fixed_m300_maxp99p5,28,0.6709658928059616,0.3671066124177169,0.6709658928059616,0.3038592803882447,24661,6046,24661,region_growing,,,,,normal,,-300.0,722.75,fixed,,fixed,,99.5,,,11096478,10750966,275,18022400,120,120,0,155,274,0.4363636363636363,18.0,26.5,20.96869829244829,20.571428571428573,1.5587280961808487,19.39333333333333,23.5,12.09375,17.8046875,14.088344165238698,13.821428571428571,1.0472704396215076,13.029895833333333,15.7890625,13.821428571428571,,15.453125,12.989583333333332,5.7109375,1.4669270833333343,0.4543264901763112,0.025,0.0,none,False,120,120,0,0,,,0.4363636363636363,0.4363636363636363,disabled,192141,False,False,False,,,0,,,,,192141,130,1478.0076923076922,0.0106612326882102,3735,192441,0.0002072420987215,0.0106778786399147,31,0.8414268853591602,1.3773504216572243,0.0382589887845243,adequate,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
fixed_m300_maxp99p5,380,0.3859685724852772,0.2597407800637032,0.3859685724852772,0.126227792421574,69971,14441,69971,region_growing,,,,,normal,,-300.0,787.75,fixed,,fixed,,99.5,,,7753887,7617259,206,13500416,77,77,0,129,205,0.3737864077669903,18.0,28.75,25.522139764996908,27.142857142857142,3.117863670476315,20.0,28.33333333333333,11.4609375,18.3056640625,16.250424928494127,17.28236607142857,1.9852022589360911,12.734375,18.04036458333333,17.28236607142857,,11.779296875,17.297526041666668,3.501953125,0.7958984375,0.4721720204920389,0.0129870129870129,0.0,none,False,77,77,0,0,,,0.3737864077669903,0.3737864077669903,disabled,209467,False,False,False,,,0,,,,,209467,87,2407.6666666666665,0.0155155959638577,3613,209752,0.0002676213829262,0.0155367064244538,31,0.9892915980230642,1.7917152868144277,0.0762411995011601,adequate,yes,found but incorrect,yes,yes,,,no,no,no,no,25.105185519446383,2.059923817235118,"(65, 130, 175)","(113, 90, 166)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
fixed_m300_maxp99p5,854,0.4988544023680428,0.3292070326515967,0.4988544023680428,0.1696473697164461,45893,9068,45893,region_growing,,,,,normal,,-300.0,670.25,fixed,,fixed,,99.5,,,10652028,10405308,275,18022400,135,135,0,140,274,0.4909090909090909,18.0,26.0,22.82462962962963,23.33333333333333,2.0730261836758657,19.62666666666667,25.25,11.4609375,16.5546875,14.53286964699074,14.856770833333332,1.3199346403873675,12.496666666666668,16.0771484375,14.856770833333332,,11.4609375,14.5171875,2.228515625,0.7958984375,0.5185741576145122,0.0222222222222222,0.0,none,False,135,135,0,0,,,0.4909090909090909,0.4909090909090909,disabled,254152,False,False,False,,,0,,,,,254152,145,1752.7724137931034,0.0141020063920454,5025,254405,0.0002788196910511,0.0141160444779829,31,0.9652287159077716,1.5098275014594689,0.0921712436586833,adequate,yes,both tolerable,yes,no,,,no,yes,no,yes,1.2734375,0.0,"(99, 151, 157)","(124, 116, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
fixed_m300_maxp99p5,937,0.6821711270260082,0.3731657563992893,0.6821711270260082,0.3090053706267189,29037,6371,29037,region_growing,,,,,normal,,-300.0,684.0,fixed,,fixed,,99.5,,,11795393,11499851,275,18022400,82,82,0,193,274,0.2981818181818181,18.0,27.0,21.00117815788548,20.9375,1.660376917880319,19.05,22.1125,12.515625,18.7734375,14.602381687904742,14.55810546875,1.1544808257136592,13.245703125,15.37509765625,14.55810546875,,13.2109375,14.678819444444445,4.751302083333332,1.73828125,0.4849552464167261,0.024390243902439,0.0,none,False,82,82,0,0,,,0.2981818181818181,0.2981818181818181,disabled,128397,False,False,False,,,0,,,,,128397,92,1395.6195652173913,0.0071243008700284,2544,128555,0.0001411576704545,0.0071330677379261,31,0.8904085872576177,1.2955408855264343,0.0898578757043142,suspected_undersegmentation,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
fixed_m300_maxp99p5,315,0.6465085775430603,0.3273995331702241,0.6465085775430603,0.3191090443728362,28727,6344,28727,region_growing,,,,,normal,,-300.0,733.25,fixed,,fixed,,99.5,,,12552071,12392619,275,18022400,134,134,0,141,274,0.4872727272727272,18.0,29.0,23.094669509594883,23.0,2.967005826884724,19.0,27.0,12.3046875,19.82421875,15.787371735074627,15.72265625,2.028226639471979,12.98828125,18.45703125,15.72265625,,19.140625,14.35546875,5.126953125,2.688802083333333,0.3789279500334687,0.0373134328358208,0.0149253731343283,none,False,134,134,0,0,,,0.4872727272727272,0.4872727272727272,disabled,388485,False,False,False,,,0,,,,,388485,138,2815.108695652174,0.0215556751598011,5117,388753,0.0002839244495738,0.0215705455433238,31,0.9930274577357364,2.417478469108822,0.1442585484690747,adequate,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(100, 179, 144)","(116, 146, 218)",,both ostia correct,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
fixed_m300_maxp99p5,428,0.6171736383247597,0.3134474696432612,0.6171736383247597,0.3037261686814985,34299,8994,34299,region_growing,,,,,normal,,-300.0,670.75,fixed,,fixed,,99.5,,,12581509,12433214,275,18022400,172,172,0,103,274,0.6254545454545455,18.0,29.0,23.211420265780728,23.125,3.145134749096577,19.0,27.5,12.5859375,20.27734375,16.22986026396387,16.16943359375,2.199137187844872,13.28515625,19.228515625,16.16943359375,,12.935546875,16.78125,6.29296875,3.146484375,0.3634420117633563,0.0406976744186046,0.0232558139534883,none,False,172,172,0,0,,,0.6254545454545455,0.6254545454545455,disabled,536753,False,False,False,,,0,,,,,536753,182,2949.192307692308,0.0297825483842329,6658,537009,0.0003694291548295,0.0297967529296875,31,0.9953773232956122,2.888070786768433,0.0791258477769404,suspected_oversegmentation,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(95, 167, 103)","(98, 121, 172)",,both ostia correct,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
fixed_m300_maxp99p5,752,0.5727497116742296,0.3513904921817609,0.5727497116742296,0.2213592194924686,58558,13426,58558,region_growing,,,,,normal,,-300.0,827.0,fixed,,fixed,,99.5,,,8581921,7824453,275,18022400,88,88,0,187,274,0.32,18.5,26.666666666666668,23.44393857405221,23.535714285714285,2.165016235386678,20.14,26.0,11.779296875,16.979166666666668,14.927195263947304,14.985630580357142,1.3785064311251118,12.823515625,16.5546875,14.985630580357142,,12.734375,15.91796875,3.8203125,1.697916666666668,0.4095138109493275,0.0,0.0,none,False,88,88,0,0,,,0.32,0.32,disabled,207418,False,False,False,,,0,,,,,207418,98,2116.5102040816328,0.0115089000355113,3437,207698,0.0001907071200284,0.0115244362571022,31,0.9442241642225396,1.6378635193586948,0.0637334195143884,adequate,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(94, 176, 209)","(117, 132, 234)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
fixed_m300_maxp99p5,13,0.5726432920428302,0.2777446841573645,0.5726432920428302,0.2948986078854657,24542,5997,24542,region_growing,,,,,normal,,-300.0,832.75,fixed,,fixed,,99.5,,,12307272,12106256,241,15794176,66,66,0,175,240,0.2738589211618257,18.0,23.875,21.44376612444794,22.1625,1.7006089169547047,18.75,23.21111111111111,12.515625,16.6005859375,14.910118633405212,15.40986328125,1.1824546375700682,13.037109375,16.138975694444444,15.40986328125,,15.296875,14.94921875,1.6513671875,0.933153521825396,0.4464010679543767,0.0454545454545454,0.0,none,False,66,66,0,0,,,0.2738589211618257,0.2738589211618257,disabled,119365,False,False,False,,,0,,,,,119365,76,1570.592105263158,0.0075575325993581,2155,119563,0.0001364426988783,0.0075700688658908,31,0.927215924041076,1.527724372752504,0.0785971322829469,adequate,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
fixed_m300_maxp99p5,538,0.5561581525542337,0.284821695636279,0.5561581525542337,0.2713364569179547,21014,5375,21014,region_growing,,,,,normal,,-300.0,503.25,fixed,,fixed,,99.5,,,12459706,12038081,275,18022400,107,107,0,168,274,0.3890909090909091,18.0,26.428571428571427,22.96174495286645,24.0,2.219730377299665,19.5,25.152380952380952,11.4609375,16.82756696428571,14.620173544207931,15.28125,1.413343951171271,12.416015625,16.014992559523808,15.28125,,11.4609375,15.811848958333332,2.0920758928571423,0.8337983630952372,0.4743503663683738,0.0186915887850467,0.0,none,False,107,107,0,0,,,0.3890909090909091,0.3890909090909091,disabled,220436,False,False,False,,,0,,,,,220436,117,1884.068376068376,0.0122312233664772,4016,220682,0.0002228338068181,0.012244873046875,31,0.932643572609872,1.7871466711292825,0.067403314917127,adequate,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
fixed_m300_maxp99p5,965,0.4838653206512225,0.2404447115384615,0.4838653206512225,0.2434206091127609,23748,5617,23748,region_growing,,,,,normal,,-300.0,576.5,fixed,,fixed,,99.5,,,12561891,12424730,275,18022400,96,96,0,179,274,0.3490909090909091,18.33333333333333,28.0,21.424315152440148,21.666666666666668,1.3302240409952542,19.5,22.5,14.179687499999998,21.65625,16.57036875071543,16.7578125,1.028845156707267,15.08203125,17.40234375,16.7578125,,18.5625,17.4453125,3.8671875,0.6661718750000016,0.4860855870793829,0.0,0.0,none,False,96,96,0,0,,,0.3490909090909091,0.3490909090909091,disabled,160676,False,False,False,,,0,,,,,160676,106,1515.811320754717,0.0089153497869318,3114,160872,0.0001727849786931,0.0089262251420454,31,0.9513393801965232,1.3495498936870665,0.0653993611660742,adequate,yes,both tolerable,yes,no,,,no,yes,no,no,1.2026683386588757,4.876132931256207,"(107, 153, 173)","(118, 127, 200)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.5,fixed,yes,per_slice,rg,5,18,30,yes,,0,2
