IMG_ID,stage,kind,shape_equal,cpu_min,gpu_min,cpu_max,gpu_max,cpu_mean,gpu_mean,mean_abs_error,max_abs_error,rmse,p95_abs_error,p99_abs_error,voxels_abs_gt_tolerance,fraction_abs_gt_tolerance,cpu_count,gpu_count,common_slices,cpu_only_slices,gpu_only_slices,mean_center_distance_px,max_center_distance_px,mean_radius_abs_diff_px,max_radius_abs_diff_px,cpu_voxels,gpu_voxels,voxel_delta,abs_voxel_delta,dice_cpu_gpu,iou_cpu_gpu,xor_voxels,xor_fraction
937,vesselness_ostios,float,True,0.0,0.0,0.8252274394035339,0.8252273797988892,0.002138494101393459,0.002138495549262992,7.573688951612444e-09,0.007160276174545288,3.5985243647011665e-06,1.234002411365509e-08,3.236345946788788e-08,760.0,4.216974431818182e-05,,,,,,,,,,,,,,,,,
937,aorta_circles,circles,,,,,,,,,,,,,,,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
937,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,216823.0,234765.0,17942.0,17942.0,0.9576693800543858,0.9187769808627078,19116.0,0.0010606800426136364
937,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,82169.0,86235.0,4066.0,4066.0,0.8432935084677323,0.7290470959064448,26390.0,0.0014642888849431819
937,vesselness_artery,float,True,0.0,0.0,0.851507306098938,0.8515072464942932,0.002830935033209882,0.00283094170326511,1.5688769243372188e-08,0.04835681617259979,1.6110993651322017e-05,1.4901161193847656e-08,3.4458935260772705e-08,550.0,3.0517578125e-05,,,,,,,,,,,,,,,,,
937,artery_raw_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,1251.0,1233.0,-18.0,18.0,0.9927536231884058,0.9856115107913669,18.0,9.987571022727274e-07
937,artery_closed_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,1297.0,1279.0,-18.0,18.0,0.9930124223602484,0.9861218195836546,18.0,9.987571022727274e-07
937,artery_final_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6785.0,6632.0,-153.0,153.0,0.9885965566072893,0.9774502579218866,153.0,8.489435369318182e-06
315,vesselness_ostios,float,True,0.0,0.0,0.7532281875610352,0.7532280683517456,0.0022851438367463475,0.002285147247879354,1.0345632349855455e-08,0.018318042159080505,6.804854555135282e-06,1.30385160446167e-08,3.341119736433029e-08,901.0,4.999334161931818e-05,,,,,,,,,,,,,,,,,
315,aorta_circles,circles,,,,,,,,,,,,,,,134.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
315,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,385703.0,394631.0,8928.0,8928.0,0.9868107758985255,0.9739649341154983,10292.0,0.0005710671164772727
315,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,109471.0,110542.0,1071.0,1071.0,0.9262361769531801,0.8626069877498498,16229.0,0.0009004905007102273
315,vesselness_artery,float,True,0.0,0.0,0.8550856709480286,0.8550857305526733,0.0030559357658037603,0.003055938361230055,1.4242493858520475e-08,0.02481985092163086,9.291702197987134e-06,1.5599653124809265e-08,3.655441105365753e-08,735.0,4.0782581676136365e-05,,,,,,,,,,,,,,,,,
315,artery_raw_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6386.0,6386.0,0.0,0.0,1.0,1.0,0.0,0.0
315,artery_closed_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6663.0,6663.0,0.0,0.0,1.0,1.0,0.0,0.0
315,artery_final_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,28865.0,28865.0,0.0,0.0,1.0,1.0,0.0,0.0
428,vesselness_ostios,float,True,0.0,0.0,0.7766119837760925,0.7766120433807373,0.0023039693047693737,0.002303968572685451,9.649744497853513e-09,0.009276092052459717,4.348147145117639e-06,1.3969838619232178e-08,3.3527612686157227e-08,887.0,4.921653053977273e-05,,,,,,,,,,,,,,,,,
428,aorta_circles,circles,,,,,,,,,,,,,,,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
428,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,533182.0,554882.0,21700.0,21700.0,0.9783284806776072,0.9575763463842741,23580.0,0.0013083718039772728
428,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,139989.0,143993.0,4004.0,4004.0,0.9334957849441162,0.8752856029689502,18886.0,0.0010479181463068181
428,vesselness_artery,float,True,0.0,0.0,0.8527444005012512,0.8527443408966064,0.003439752766881358,0.0034397548626110856,1.3547554842766404e-08,0.044112786650657654,1.1679097037406183e-05,1.6763806343078613e-08,3.725290298461914e-08,656.0,3.6399147727272724e-05,,,,,,,,,,,,,,,,,
428,artery_raw_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,9099.0,9099.0,0.0,0.0,1.0,1.0,0.0,0.0
428,artery_closed_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,9468.0,9468.0,0.0,0.0,1.0,1.0,0.0,0.0
428,artery_final_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,34063.0,34063.0,0.0,0.0,1.0,1.0,0.0,0.0
28,vesselness_ostios,float,True,0.0,0.0,0.7567499279975891,0.7567499876022339,0.002393948891005774,0.0023939476376020484,8.10849818010359e-09,0.008505284786224365,3.2340856378076353e-06,1.1597876437008381e-08,3.2247044146060944e-08,945.0,5.2434747869318184e-05,,,,,,,,,,,,,,,,,
28,aorta_circles,circles,,,,,,,,,,,,,,,143.0,143.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
28,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,427096.0,441315.0,14219.0,14219.0,0.9705588713178437,0.942801724427223,25567.0,0.0014186234907670454
28,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,135785.0,138726.0,2941.0,2941.0,0.84362375278222,0.7295408867243367,42927.0,0.002381869229403409
28,vesselness_artery,float,True,0.0,0.0,0.8480173349380493,0.8480172157287598,0.002882128012483872,0.002882128988785376,1.0168487876542383e-08,0.010706789791584015,5.266211612076879e-06,1.4668330550193787e-08,3.4458935260772705e-08,770.0,4.2724609375e-05,,,,,,,,,,,,,,,,,
28,artery_raw_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6045.0,6045.0,0.0,0.0,1.0,1.0,0.0,0.0
28,artery_closed_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6347.0,6347.0,0.0,0.0,1.0,1.0,0.0,0.0
28,artery_final_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,24733.0,24733.0,0.0,0.0,1.0,1.0,0.0,0.0
