IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,min_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
28,0.6106192963906565,159173,region_growing,,,,,normal,-300.0,fixed,,,,44548201,43162495,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(207, 295, 187)","(262, 231, 217)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
380,0.4726166107153579,223583,region_growing,,,,,normal,-300.0,fixed,,,,31134560,30588105,yes,found but incorrect,yes,yes,,,no,no,no,yes,18.7881181951504,0.0,"(139, 256, 163)","(229, 179, 171)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
854,0.5591618643880683,173918,region_growing,,,,,normal,-300.0,fixed,,,,42774957,41782616,yes,both tolerable,yes,no,,,no,yes,no,yes,2.156083694900099,0.0,"(197, 299, 156)","(244, 227, 184)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
937,0.5843069706076376,175514,region_growing,,,,,normal,-300.0,fixed,,,,47348632,46159589,yes,both tolerable,yes,no,,,no,yes,no,no,0.4916601837937713,0.6953125,"(212, 344, 213)","(232, 255, 228)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
315,0.5391784022715433,214372,region_growing,,,,,normal,-300.0,fixed,,,,50372253,49735523,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,12.548309966199133,"(318, 367, 186)","(211, 264, 200)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
428,0.5827728976668718,179012,region_growing,,,,,normal,-300.0,fixed,,,,50495171,49896629,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(193, 335, 103)","(203, 240, 176)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
752,0.6213495917126135,263274,region_growing,,,,,normal,-300.0,fixed,,,,34496681,31554093,yes,both tolerable,yes,no,,,no,yes,no,yes,0.8095744354916121,0.0,"(194, 351, 210)","(233, 260, 233)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
13,0.4692956960494803,126413,region_growing,,,,,normal,-300.0,fixed,,,,49367989,48567989,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(227, 352, 171)","(267, 289, 203)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
538,0.3419601489440323,41340,region_growing,,,,,normal,-300.0,fixed,,,,50003166,48323725,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,5.954822848845532,"(202, 353, 203)","(269, 260, 202)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
965,0.5710935538849767,190415,region_growing,,,,,normal,-300.0,fixed,,,,50412361,49856935,yes,both tolerable,yes,no,,,no,yes,no,no,0.38671875,0.38671875,"(218, 312, 181)","(212, 239, 199)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
447,0.5373181810148283,142543,region_growing,,,,,normal,-300.0,fixed,,,,46753679,46031914,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(240, 373, 174)","(241, 278, 194)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
836,0.703194001887973,167044,region_growing,,,,,normal,-300.0,fixed,,,,43496654,41338438,yes,both tolerable,yes,no,,,no,yes,no,yes,1.0067407394676675,0.0,"(208, 278, 174)","(256, 208, 209)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
603,0.6623901019366438,203508,region_growing,,,,,normal,-300.0,fixed,,,,34043020,33071857,yes,both tolerable,yes,no,,,no,yes,no,yes,0.318359375,0.0,"(162, 336, 167)","(237, 240, 189)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
676,0.55871722707747,65626,region_growing,,,,,normal,-300.0,fixed,,,,52517427,51861114,yes,both tolerable,yes,no,,,no,yes,no,yes,2.0991950899415626,0.0,"(162, 372, 138)","(201, 323, 187)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
44,0.0,1171475,region_growing,,,,,normal,-300.0,fixed,,,,31269752,30498136,yes,found but incorrect,yes,yes,,,no,no,no,no,4.2068861685754655,41.31766398094211,"(231, 166, 190)","(99, 113, 145)",,no ostium correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
129,0.6764757286442581,203215,region_growing,,,,,normal,-300.0,fixed,,,,47323393,46555472,yes,both tolerable,yes,no,,,no,yes,no,yes,1.5737291810080445,0.0,"(197, 316, 168)","(224, 234, 205)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
518,0.4917660531058669,218716,region_growing,,,,,normal,-300.0,fixed,,,,44709302,43781750,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(216, 327, 163)","(253, 258, 195)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
793,0.5935456793038095,92586,region_growing,,,,,normal,-300.0,fixed,,,,37634213,36986144,yes,both tolerable,yes,no,,,no,yes,no,no,0.6796875,1.754676021222472,"(198, 301, 144)","(220, 228, 181)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
550,0.4998841567291311,76129,region_growing,,,,,normal,-300.0,fixed,,,,50603893,50131149,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2534924356105277,"(194, 317, 201)","(242, 257, 201)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
631,0.627698447340525,152451,region_growing,,,,,normal,-300.0,fixed,,,,44464352,43548272,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(194, 267, 154)","(252, 185, 198)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
330,0.1741403413560125,448436,region_growing,,,,,normal,-300.0,fixed,,,,41819612,40688009,yes,found but incorrect,yes,yes,,,no,no,no,no,1.4046336739722,7.772094978682776,"(216, 280, 197)","(315, 190, 224)",,no ostium correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
90,0.6587702282931593,214356,region_growing,,,,,normal,-300.0,fixed,,,,47662621,46583971,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5991256701256554,"(170, 319, 154)","(225, 237, 185)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
608,0.3438862404758994,58021,region_growing,,,,,normal,-300.0,fixed,,,,34989847,34619031,yes,found but incorrect,yes,yes,,,no,no,no,no,2.295722101174337,25.551829678292066,"(188, 251, 141)","(283, 201, 77)",,no ostium correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
887,0.5359976612328762,110400,region_growing,,,,,normal,-300.0,fixed,,,,44671035,43369831,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(210, 339, 185)","(263, 255, 209)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
175,0.4296994784029105,173576,region_growing,,,,,normal,-300.0,fixed,,,,39971414,39175224,yes,both tolerable,yes,no,,,no,yes,no,no,1.0067407394676675,0.869921524191667,"(203, 396, 169)","(259, 320, 190)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
760,0.4545621264348457,125046,region_growing,,,,,normal,-300.0,fixed,,,,45294651,41943669,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,46.12223960659462,"(218, 253, 229)","(115, 161, 188)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
696,0.578947091367539,109189,region_growing,,,,,normal,-300.0,fixed,,,,34276383,33308173,yes,both tolerable,yes,no,,,no,yes,no,no,1.029961908617559,0.869921524191667,"(209, 274, 164)","(246, 206, 196)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
194,0.7070629392669167,196904,region_growing,,,,,normal,-300.0,fixed,,,,50755279,49609658,yes,both tolerable,yes,no,,,no,yes,no,no,2.7546188406520766,2.449499865495904,"(193, 321, 171)","(241, 240, 209)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
305,0.6134525709791169,197200,region_growing,,,,,normal,-300.0,fixed,,,,45063204,44149316,yes,both tolerable,yes,no,,,no,yes,no,yes,1.16015625,0.0,"(196, 330, 180)","(248, 250, 217)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
344,0.4661624875144313,101747,region_growing,,,,,normal,-300.0,fixed,,,,49309886,43886005,yes,found but incorrect,yes,yes,,,no,no,no,no,2.3392306688461297,30.35044062638664,"(202, 326, 181)","(208, 226, 159)",,no ostium correct,opencv,linear,"[1, 1, 1]",99.7,fixed,yes,per_slice,region_growing,5,no,yes
