IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_circle_filter_method,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_synthetic_tail_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_detected_tail_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_circle_filter_candidate_mask_voxel_count,aorta_circle_filter_mask_guided_fallback_enabled,aorta_circle_filter_mask_guided_fallback_attempted,aorta_circle_filter_mask_guided_fallback_accepted,aorta_circle_filter_mask_guided_fallback_rejection_reason,aorta_circle_filter_mask_guided_trim_start_slice,aorta_circle_filter_mask_guided_trimmed_tail_count,aorta_circle_filter_mask_guided_candidate_area_ratio_p90,aorta_circle_filter_mask_guided_retry_area_ratio_p90,aorta_circle_filter_mask_guided_candidate_fill_q25,aorta_circle_filter_mask_guided_retry_fill_q25,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_mode,aorta_level_set_initial_voxel_count,aorta_level_set_raw_voxel_count,aorta_level_set_initial_volume_fraction,aorta_level_set_raw_volume_fraction,aorta_level_set_iterations_used,aorta_level_set_stop_reason,aorta_level_set_checkpoint_count,aorta_level_set_rolled_back,aorta_level_set_mask_change_fraction,aorta_level_set_voxels_per_segmented_slice,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_level_set_leak_suspected,aorta_level_set_localization_suspected,aorta_level_set_localization_leak_override_triggered,aorta_level_set_leak_signal_count,aorta_level_set_trigger_iteration,aorta_level_set_trigger_volume_fraction,aorta_level_set_trigger_relative_growth,aorta_level_set_trigger_mask_change_fraction,aorta_level_set_trigger_circle_fill_q25,aorta_level_set_trigger_circle_area_ratio_p90,aorta_level_set_correction_applied,aorta_level_set_correction_method,aorta_level_set_slice_area_jump_p95_before,aorta_level_set_slice_area_jump_p95_after,aorta_level_set_controller_state,aorta_level_set_profile_used,aorta_level_set_rollback_iteration,aorta_level_set_circle_confidence_signal_count,aorta_level_set_alternative_attempted,aorta_level_set_alternative_accepted,aorta_level_set_conservative_attempted,aorta_level_set_conservative_accepted,aorta_level_set_permissive_attempted,aorta_level_set_permissive_accepted,aorta_level_set_nominal_volume_fraction,aorta_level_set_nominal_circle_fill_q25,aorta_level_set_nominal_circle_area_ratio_p90,aorta_level_set_candidate_voxel_count,aorta_level_set_candidate_volume_fraction,aorta_level_set_candidate_circle_fill_q25,aorta_level_set_candidate_circle_area_ratio_p90,aorta_level_set_candidate_area_ratio_improvement_fraction,aorta_level_set_final_volume_fraction,aorta_level_set_decision_reason,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,configured_aorta_hough_radii_start_px,configured_aorta_hough_radii_end_px,aorta_interpolate_missed_circles,aorta_trajectory_radius_factor,aorta_trajectory_axial_margin_slices,aorta_opening_radius
28,0.6709658928059616,0.3671066124177169,0.6709658928059616,0.3038592803882447,24661,6046,24661,region_growing,,,,,normal,,-300.0,1085.75,fixed,,11168529,10815776,275,18022400,120,120,0,155,274,0.4363636363636363,18.0,26.5,20.96332461519961,20.571428571428573,1.5593674043883312,19.39333333333333,23.5,12.09375,17.8046875,14.08473372583724,13.821428571428571,1.0476999748234102,13.029895833333333,15.7890625,13.821428571428571,,15.453125,12.989583333333332,5.7109375,1.455729166666668,0.4540704137874224,0.025,0.0,robust,False,120,120,0,0,,,0.4363636363636363,0.4363636363636363,unchanged,178393,True,False,False,,,0,,,,,178393,130,1372.253846153846,0.0098984042080965,fixed,1660,179157,9.210759943181818e-05,0.0099407958984375,26,fixed_complete,1,no,,,0.8296766061369992,1.2619178642558844,no,no,no,0,,,,,,,no,none,0.0824678739597686,0.0824678739597686,fixed,nominal,,0,no,no,no,no,no,no,0.0098984042080965,0.8296766061369992,1.2619178642558844,,,,,,0.0098984042080965,fixed_complete,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
380,0.5520222290830503,0.2980610151545232,0.5520222290830503,0.2539612139285271,42258,9855,42258,region_growing,,,,,normal,,-300.0,1052.25,fixed,,7807686,7670241,206,13500416,77,77,0,129,205,0.3737864077669903,18.5,28.33333333333333,25.014842300556587,25.83333333333333,2.729485047810123,20.3,28.0,11.779296875,18.04036458333333,15.927419121057511,16.448567708333332,1.7379143077853512,12.925390625,17.828125,16.448567708333332,,11.779296875,16.5546875,3.18359375,1.4962890625000007,0.5162309901570733,0.0,0.0,robust,False,77,77,0,0,,,0.3737864077669903,0.3737864077669903,coverage_below_tail_threshold,201902,True,False,False,,,0,,,,,201902,87,2320.712643678161,0.0149552428606644,fixed,1517,202131,0.0001123669078049,0.0149722053009329,26,fixed_complete,1,no,,,0.9886561954624782,1.567096408305735,no,no,no,0,,,,,,,no,none,0.067680693669658,0.067680693669658,fixed,nominal,,0,no,no,no,no,no,no,0.0149552428606644,0.9886561954624782,1.567096408305735,,,,,,0.0149552428606644,fixed_complete,yes,both tolerable,yes,no,,,no,yes,no,no,2.7423238258492217,4.910011744591987,"(94, 121, 123)","(113, 97, 162)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
854,0.6313754539377405,0.3506655974338412,0.6313754539377405,0.2807098565038993,30973,6799,30973,region_growing,,,,,normal,,-300.0,953.25,fixed,,10723965,10472395,275,18022400,138,138,0,137,274,0.5018181818181818,18.0,25.75,22.80033356337704,23.208333333333336,2.0579037512030114,19.5,25.25,11.4609375,16.3955078125,14.517399886056475,14.777180989583334,1.3103059040862923,12.416015625,16.0771484375,14.777180989583334,,13.37109375,14.64453125,2.228515625,0.7905924479166662,0.5194491171644677,0.0144927536231884,0.0,robust,False,138,138,0,0,,,0.5018181818181818,0.5018181818181818,unchanged,243713,True,False,False,,,0,,,,,243713,146,1669.2671232876712,0.0135227827592329,fixed,2239,244301,0.0001242342862215,0.0135554088245738,26,fixed_complete,1,no,,,0.9469330932344412,1.4808770406684864,no,no,no,0,,,,,,,no,none,0.1546331236897274,0.1546331236897274,fixed,nominal,,0,no,no,no,no,no,no,0.0135227827592329,0.9469330932344412,1.4808770406684864,,,,,,0.0135227827592329,fixed_complete,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.8095744354916121,"(99, 151, 157)","(123, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
937,0.6849258025439128,0.3729897179013973,0.6849258025439128,0.3119360846425155,28809,6321,28809,region_growing,,,,,normal,,-300.0,969.75,fixed,,11867469,11567669,275,18022400,82,82,0,193,274,0.2981818181818181,18.0,27.0,20.98524135079013,20.9375,1.4821743002257537,19.05,22.612500000000004,12.515625,18.7734375,14.591300626721264,14.55810546875,1.0305743181257194,13.245703125,15.722753906250004,14.55810546875,,13.2109375,14.5146484375,4.751302083333332,1.622395833333332,0.4809928720550133,0.024390243902439,0.0,robust,False,82,82,0,0,,,0.2981818181818181,0.2981818181818181,coverage_below_tail_threshold,117057,True,False,False,,,0,,,,,117057,92,1272.358695652174,0.0064950838955965,fixed,1135,117233,6.297718394886363e-05,0.0065048495205965,26,fixed_complete,1,no,,,0.8339546870334773,1.2147659618359632,no,no,no,0,,,,,,,no,none,0.0970642015440877,0.0970642015440877,fixed,nominal,,0,no,no,no,no,no,no,0.0064950838955965,0.8339546870334773,1.2147659618359632,,,,,,0.0064950838955965,fixed_complete,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
315,0.2416710011223959,0.0866388308977035,0.2416710011223959,0.1550321702246923,7314,1441,7314,region_growing,,,,,normal,,-300.0,893.25,fixed,,12624120,12464696,275,18022400,134,134,0,141,274,0.4872727272727272,18.0,29.0,23.206449893390197,23.33333333333333,2.957473609804694,19.0,27.175,12.3046875,19.82421875,15.8637841068097,15.950520833333332,2.021710475452428,12.98828125,18.57666015625,15.950520833333332,,19.140625,14.35546875,7.51953125,2.483723958333334,0.3812039631450702,0.0223880597014925,0.0149253731343283,robust,False,134,134,0,0,,215.0,0.4872727272727272,0.4872727272727272,tail_trim_fraction_exceeded,351318,True,False,False,,,0,,,,,351318,137,2564.364963503649,0.019493408203125,fixed,2284,351573,0.0001267311789772,0.0195075572620738,26,fixed_complete,1,no,,,0.9879439255730652,2.1190935771664194,no,no,no,0,,,,,,,no,none,0.1161903027091475,0.1161903027091475,fixed,nominal,,0,no,no,no,no,no,no,0.019493408203125,0.9879439255730652,2.1190935771664194,,,,,,0.019493408203125,fixed_complete,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,13.60780130916551,"(100, 179, 144)","(85, 160, 149)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
428,0.2742726196960874,0.1139759241868009,0.2742726196960874,0.1602966955092865,9197,2810,9197,region_growing,,,,,normal,,-300.0,916.5,fixed,,12653455,12504582,275,18022400,172,172,0,103,274,0.6254545454545455,18.0,29.0,23.38606496862311,24.0,3.345826581286704,19.0,27.5,12.5859375,20.27734375,16.35197511477944,16.78125,2.3394646798840624,13.28515625,19.228515625,16.78125,,12.935546875,17.48046875,6.9921875,3.729166666666664,0.3677517382058745,0.0465116279069767,0.0232558139534883,robust,False,172,172,0,0,,192.0,0.6254545454545455,0.6254545454545455,tail_trim_fraction_exceeded,509655,True,True,False,persistent_mask_tail_not_found,,0,2.7463530637579048,,0.9957874902538336,,509655,180,2831.4166666666665,0.028278975053267,fixed,2966,510933,0.0001645729758522,0.0283498868075284,26,fixed_complete,1,no,,,0.9957874902538336,2.7463530637579048,no,no,no,0,,,,,,,no,none,0.10462355587185,0.10462355587185,fixed,nominal,,0,no,no,no,no,no,no,0.028278975053267,0.9957874902538336,2.7463530637579048,,,,,,0.028278975053267,fixed_complete,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,22.578044239150543,"(95, 167, 103)","(114, 148, 147)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
752,0.5904304411159667,0.3542828073001675,0.5904304411159667,0.2361476338157991,55712,12958,55712,region_growing,,,,,normal,,-300.0,903.0,fixed,,8653631,7884489,275,18022400,112,112,0,163,274,0.4072727272727273,18.0,28.0,22.57897630643166,22.58571428571429,2.692001533677478,19.0,25.8875,11.4609375,17.828125,14.376457570110786,14.380747767857144,1.7140478515212068,12.09765625,16.483056640624998,14.380747767857144,,17.828125,16.873046875,4.138671875,1.2734375,0.4000353033736267,0.0267857142857142,0.0,robust,True,112,86,5,31,193.0,193.0,0.4072727272727273,0.3127272727272727,persistent_tail_trimmed+stable_tail_extrapolated,166551,True,False,False,,,0,,,,,166551,96,1734.90625,0.0092413330078125,fixed,1488,166765,8.256392045454546e-05,0.0092532071200284,26,fixed_complete,1,no,,,0.9329267281010418,1.4124357702362174,no,no,no,0,,,,,,,no,none,0.2210918231630417,0.2210918231630417,fixed,nominal,,0,no,no,no,no,no,no,0.0092413330078125,0.9329267281010418,1.4124357702362174,,,,,,0.0092413330078125,fixed_complete,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.5089909983190133,"(94, 176, 209)","(115, 131, 231)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
13,0.5726432920428302,0.2777446841573645,0.5726432920428302,0.2948986078854657,24542,5997,24542,region_growing,,,,,normal,,-300.0,1095.5,fixed,,12370388,12169474,241,15794176,66,66,0,175,240,0.2738589211618257,18.0,23.875,21.43685775503957,22.0625,1.7229744828926377,18.75,23.36111111111111,12.515625,16.6005859375,14.905315157800953,15.34033203125,1.1980056951362874,13.037109375,16.243272569444443,15.34033203125,,15.296875,14.94921875,1.6513671875,0.933153521825396,0.448185455952,0.0454545454545454,0.0,robust,False,66,66,0,0,,,0.2738589211618257,0.2738589211618257,coverage_below_tail_threshold,117350,True,False,False,,,0,,,,,117350,76,1544.078947368421,0.007429953927321,fixed,939,117544,5.9452294314056015e-05,0.0074422369359439,26,fixed_complete,1,no,,,0.9224322314049588,1.4902298077346607,no,no,no,0,,,,,,,no,none,0.0840728929719978,0.0840728929719978,fixed,nominal,,0,no,no,no,no,no,no,0.007429953927321,0.9224322314049588,1.4902298077346607,,,,,,0.007429953927321,fixed_complete,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.4024688749888534,"(114, 173, 173)","(130, 145, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
538,0.5561581525542337,0.284821695636279,0.5561581525542337,0.2713364569179547,21014,5375,21014,region_growing,,,,,normal,,-300.0,733.75,fixed,,12531697,12105119,275,18022400,107,107,0,168,274,0.3890909090909091,18.0,27.33333333333333,22.944409718007847,23.83333333333333,2.212540182572476,19.5,25.166666666666668,11.4609375,17.403645833333332,14.60913587513781,15.175130208333332,1.4087658193723185,12.416015625,16.024088541666668,15.175130208333332,,11.4609375,15.645089285714286,2.3346354166666643,0.9095982142857116,0.4623895843510253,0.0186915887850467,0.0,robust,False,107,107,0,0,,,0.3890909090909091,0.3890909090909091,coverage_below_tail_threshold,202865,True,False,False,,,0,,,,,202865,117,1733.888888888889,0.011256269975142,fixed,1790,203107,9.932084517045454e-05,0.011269697709517,26,fixed_complete,1,no,,,0.9288848027144448,1.729413015986982,no,no,no,0,,,,,,,no,none,0.0784506452822205,0.0784506452822205,fixed,nominal,,0,no,no,no,no,no,no,0.011256269975142,0.9288848027144448,1.729413015986982,,,,,,0.011256269975142,fixed_complete,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.967649121771016,"(102, 175, 202)","(126, 138, 216)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
965,0.4824981901426363,0.2320528682217327,0.4824981901426363,0.2504453219209036,23446,5476,23446,region_growing,,,,,normal,,-300.0,797.25,fixed,,12633842,12495820,275,18022400,92,92,0,183,274,0.3345454545454545,18.33333333333333,24.0,21.326450512048336,21.666666666666668,1.1477970064177248,19.5,22.49,14.179687499999998,18.5625,16.49467656791239,16.7578125,0.8877492471512091,15.08203125,17.394609375,16.7578125,,18.5625,17.4453125,3.8671875,0.7734375,0.4981893877603994,0.0,0.0,robust,False,92,92,0,0,,,0.3345454545454545,0.3345454545454545,coverage_below_tail_threshold,151981,True,False,False,,,0,,,,,151981,102,1490.0098039215686,0.0084328946200284,fixed,1321,152144,7.329767400568182e-05,0.0084419389204545,26,fixed_complete,1,no,,,0.9538539898132428,1.3286993594152243,no,no,no,0,,,,,,,no,none,0.0850047755491881,0.0850047755491881,fixed,nominal,,0,no,no,no,no,no,no,0.0084328946200284,0.9538539898132428,1.3286993594152243,,,,,,0.0084328946200284,fixed_complete,yes,both tolerable,yes,no,,,no,yes,no,no,1.4820293967437017,5.215854595380919,"(107, 153, 174)","(117, 128, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,18,30,yes,2.25,10,2
