IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
28,0.6566606660666067,20255,fuzzy_connectedness,5502,0.18,8,463105,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
380,0.5789442057506835,31088,fuzzy_connectedness,8162,0.18,8,430445,yes,both tolerable,yes,no,,,no,yes,no,no,2.295722101174337,1.739843048383334,"(94, 121, 120)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
854,0.6349572753411898,25010,fuzzy_connectedness,6027,0.18,8,439212,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(99, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
937,0.6486475116738883,23519,fuzzy_connectedness,5740,0.18,8,481327,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
315,0.6445865287543614,27246,fuzzy_connectedness,6202,0.18,8,500000,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(100, 179, 144)","(115, 146, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
428,0.629411219040299,31419,fuzzy_connectedness,8926,0.18,8,500000,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
752,0.7262232153088117,35597,fuzzy_connectedness,8867,0.18,8,493678,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(94, 176, 209)","(117, 132, 234)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
13,0.5460857296675145,21253,fuzzy_connectedness,5724,0.18,8,500000,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
538,0.4413952815168621,9831,fuzzy_connectedness,2929,0.18,8,367341,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
965,0.4674239071642818,13011,fuzzy_connectedness,3437,0.18,8,491631,yes,both tolerable,yes,no,,,no,yes,no,no,1.4820293967437017,5.215854595380919,"(107, 153, 174)","(117, 128, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
447,0.4785338001955774,10794,fuzzy_connectedness,2912,0.18,8,500000,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,11.282064223559944,"(119, 186, 173)","(141, 141, 166)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7
836,0.7180410230037384,23369,fuzzy_connectedness,6616,0.18,8,416457,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
603,0.4394614815976345,13680,fuzzy_connectedness,3942,0.18,8,500000,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,27.84537235076125,"(81, 171, 169)","(103, 140, 129)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7
676,0.4368136371086707,7125,fuzzy_connectedness,2027,0.18,8,500000,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
44,0.5150168638578082,68043,fuzzy_connectedness,16924,0.18,8,469823,yes,both tolerable,yes,no,,,no,yes,no,yes,0.58984375,0.0,"(97, 131, 150)","(110, 91, 177)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
129,0.7076324065292268,26762,fuzzy_connectedness,7768,0.18,8,495885,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
