IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
28,0.6709658928059616,24661,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
380,0.5410466097957435,43883,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.4237464075486943,1.739843048383334,"(92, 121, 119)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
854,0.0,872,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,no,no,22.617924548115766,32.96494280631521,"(145, 122, 74)","(109, 97, 106)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7
937,0.2014890790571225,8346,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,no,no,1.390625,30.341426677919458,"(106, 170, 209)","(121, 139, 161)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7
315,0.2407089297886843,7460,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,11.800657764787546,"(98, 179, 147)","(137, 118, 90)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7
428,0.2719440159524436,9116,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,41.39456884906757,"(75, 179, 71)","(63, 80, 99)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7
752,0.0,319,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,no,no,39.87089933637817,38.02003051467626,"(42, 217, 3)","(114, 136, 4)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7
13,0.5726432920428302,24542,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.1031404921008474,"(112, 176, 170)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
538,0.5561581525542337,21014,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
965,0.4358138050838444,28751,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,no,no,1.2026683386588757,34.71173228045752,"(107, 153, 173)","(110, 72, 176)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7
447,0.4528616520755166,12675,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,no,no,0.6953125,25.41627070217521,"(119, 184, 169)","(120, 150, 120)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7
836,0.7438879393624136,26640,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
603,0.4474805940682909,13613,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,11.311675152291835,"(74, 153, 45)","(161, 109, 97)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7
676,0.4987987289777571,8527,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
44,0.0699701706860269,379378,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,no,no,17.29545641201758,33.775377918899046,"(155, 94, 113)","(56, 62, 114)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7
129,0.7126447678184892,29954,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
518,0.6698155814828755,31133,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8532541254157887,"(108, 162, 164)","(126, 128, 193)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
793,0.5235638413180143,8143,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,6.021268659471295,"(74, 160, 139)","(123, 118, 171)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
550,0.4694291723552636,9657,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,6.883242573112798,"(97, 158, 200)","(151, 80, 194)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
631,0.5032588315823934,11613,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,inf,"(92, 133, 153)",,,one ostium correct,opencv,linear,"(2, 2, 1)",99.7
330,0.5116874799871918,69799,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.974511812933532,"(105, 141, 195)","(119, 113, 222)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7
90,0.5057251570657464,18197,region_growing,,,,,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(85, 158, 155)","(113, 93, 75)",,both ostia correct,opencv,linear,"(2, 2, 1)",99.7
608,0.0,4641,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,no,no,8.804227368467041,19.06482159594869,"(193, 122, 72)","(104, 85, 102)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7
