IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
28,0.6709658928059616,24661,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
380,0.5410466097957435,43883,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.4237464075486943,1.739843048383334,"(92, 121, 119)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
854,0.6313070183361936,30979,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(99, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
937,0.6849258025439128,28809,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
315,0.646501922778458,28774,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8469358978335152,"(98, 179, 147)","(116, 146, 216)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
428,0.6234457350457965,34130,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
752,0.0,13118,region_growing,,,,,yes,found but incorrect,yes,yes,,,no,no,no,no,7.788209307898242,11.076229562812657,"(165, 206, 104)","(183, 193, 56)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
13,0.5726432920428302,24542,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
538,0.5561581525542337,21014,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
965,0.4815496709495456,23393,region_growing,,,,,yes,both tolerable,yes,no,,,no,yes,no,no,1.2026683386588757,5.215854595380919,"(107, 153, 173)","(117, 128, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,yes,per_slice,region_growing,2,yes,yes
